ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME,CLAIM_AMOUNT
31,26-39,female,majority,0-9y,university,working class,0.62,0.0,before 2015,0.0,1.0,10238,10841.0,sedan,0,0,0,0.0,0.0
32,65+,male,majority,30y+,none,poverty,0.64,0.0,before 2015,1.0,1.0,10238,8588.0,sedan,0,0,0,0.0,0.0
33,40-64,female,majority,10-19y,university,working class,0.69,1.0,before 2015,1.0,0.0,10238,6448.0,sedan,1,0,0,0.0,0.0
34,40-64,female,majority,20-29y,none,poverty,0.32,0.0,after 2015,0.0,0.0,10238,6282.0,sedan,2,0,0,0.0,0.0
35,16-25,female,majority,0-9y,university,poverty,0.43,1.0,before 2015,0.0,1.0,10238,9561.0,sedan,1,0,0,0.0,0.0
36,40-64,male,majority,20-29y,none,poverty,0.77,1.0,before 2015,1.0,0.0,10238,9666.0,sedan,0,0,1,0.0,0.0
37,40-64,female,majority,20-29y,none,working class,0.46,1.0,before 2015,0.0,0.0,10238,8488.0,sedan,2,0,1,0.0,0.0
38,26-39,female,majority,10-19y,high school,working class,0.5,1.0,after 2015,1.0,0.0,10238,5277.0,sedan,2,0,0,0.0,0.0
39,26-39,male,majority,10-19y,high school,working class,0.53,1.0,before 2015,1.0,0.0,10238,2524.0,sedan,0,0,0,0.0,0.0
40,65+,male,majority,30y+,none,poverty,0.42,1.0,after 2015,0.0,1.0,10238,4894.0,sedan,3,0,0,0.0,0.0
41,26-39,female,majority,0-9y,high school,upper class,0.43,1.0,after 2015,1.0,0.0,10238,4098.0,sedan,3,0,1,0.0,0.0
42,26-39,female,majority,0-9y,none,working class,0.75,1.0,after 2015,1.0,1.0,10238,12054.0,sports car,0,0,0,0.0,0.0
43,40-64,female,majority,20-29y,none,working class,0.41,0.0,before 2015,1.0,0.0,10238,1809.0,sedan,2,0,0,0.0,0.0
44,16-25,female,majority,0-9y,university,poverty,0.55,0.0,before 2015,0.0,0.0,10238,11916.0,sedan,1,0,0,0.0,0.0
45,26-39,male,majority,10-19y,university,upper class,0.32,0.0,after 2015,1.0,1.0,10238,7675.0,sedan,0,0,0,1.0,8608.0
46,65+,female,majority,30y+,university,middle class,0.61,0.0,before 2015,0.0,1.0,10238,11624.0,sports car,1,0,0,1.0,1074.51
47,26-39,female,majority,10-19y,university,middle class,0.51,1.0,after 2015,0.0,1.0,10238,6192.0,sedan,0,1,0,0.0,0.0
48,40-64,male,majority,10-19y,none,working class,0.49,1.0,before 2015,1.0,0.0,10238,1889.0,sports car,0,0,0,1.0,2819.89
49,40-64,male,majority,10-19y,none,middle class,0.56,1.0,before 2015,0.0,0.0,10238,8099.0,sedan,1,0,1,0.0,0.0
50,26-39,female,majority,0-9y,none,upper class,0.73,1.0,after 2015,1.0,0.0,10238,4180.0,sedan,0,0,0,0.0,0.0
51,40-64,male,majority,20-29y,none,working class,0.66,1.0,before 2015,1.0,0.0,10238,5862.0,sedan,0,1,1,1.0,1033.2
52,40-64,female,majority,20-29y,high school,middle class,0.57,0.0,after 2015,0.0,1.0,10238,8729.0,sedan,0,0,0,0.0,0.0
53,26-39,male,majority,0-9y,none,middle class,0.62,1.0,after 2015,1.0,1.0,10238,7933.0,sedan,0,0,0,0.0,0.0
54,26-39,male,majority,10-19y,none,upper class,0.52,0.0,after 2015,0.0,0.0,10238,14122.0,sedan,0,0,0,1.0,8221.7
55,26-39,male,majority,10-19y,high school,middle class,0.78,1.0,after 2015,1.0,0.0,10238,6381.0,sports car,0,0,0,0.0,0.0
56,16-25,male,majority,0-9y,university,working class,0.43,1.0,after 2015,1.0,0.0,10238,1000.0,sports car,2,0,2,0.0,0.0
57,40-64,male,majority,20-29y,university,poverty,0.39,1.0,after 2015,1.0,1.0,10238,8921.0,sedan,0,0,0,0.0,0.0
58,40-64,male,majority,10-19y,none,middle class,0.74,1.0,after 2015,1.0,0.0,10238,4555.0,sedan,1,0,0,0.0,0.0
59,26-39,male,majority,10-19y,high school,upper class,0.62,1.0,after 2015,1.0,0.0,10238,8731.0,sedan,2,0,1,0.0,0.0
60,65+,female,majority,30y+,high school,middle class,0.38,0.0,before 2015,0.0,0.0,10238,6390.0,sedan,1,0,1,0.0,0.0
61,65+,male,majority,30y+,university,middle class,0.57,0.0,before 2015,0.0,0.0,10238,9123.0,sports car,0,0,0,0.0,0.0
62,26-39,male,majority,0-9y,university,middle class,0.57,1.0,after 2015,1.0,1.0,10238,13625.0,sports car,1,0,2,0.0,0.0
63,26-39,male,majority,10-19y,none,middle class,0.46,1.0,before 2015,1.0,1.0,10238,8976.0,sedan,0,0,0,1.0,1200.92
64,40-64,male,majority,20-29y,high school,middle class,0.76,0.0,before 2015,0.0,1.0,10238,9270.0,sedan,0,0,0,1.0,1185.4
65,26-39,female,majority,10-19y,university,upper class,0.72,1.0,before 2015,1.0,1.0,10238,1961.0,sedan,0,0,1,0.0,0.0
66,26-39,female,majority,10-19y,university,working class,0.33,0.0,after 2015,0.0,1.0,10238,5184.0,sports car,0,0,0,0.0,0.0
67,65+,male,majority,30y+,university,poverty,0.77,0.0,before 2015,0.0,0.0,10238,7167.0,sedan,0,0,0,0.0,0.0
68,26-39,female,majority,10-19y,high school,middle class,0.54,0.0,after 2015,0.0,0.0,10238,10282.0,sports car,0,0,0,1.0,820.6
69,26-39,female,majority,0-9y,high school,upper class,0.68,1.0,before 2015,0.0,0.0,10238,3114.0,sedan,1,0,1,1.0,1453.45
70,26-39,male,majority,10-19y,university,middle class,0.36,0.0,after 2015,0.0,1.0,10238,9717.0,sedan,0,0,0,0.0,0.0
71,26-39,female,majority,10-19y,high school,upper class,0.57,0.0,after 2015,1.0,1.0,10238,7704.0,sedan,1,0,0,0.0,0.0
72,40-64,female,majority,10-19y,none,middle class,0.74,0.0,after 2015,1.0,1.0,10238,12454.0,sedan,1,0,0,0.0,0.0
73,26-39,male,majority,0-9y,none,upper class,0.41,0.0,after 2015,1.0,0.0,10238,5426.0,sedan,0,0,2,0.0,0.0
74,40-64,male,majority,20-29y,high school,middle class,0.66,1.0,before 2015,0.0,0.0,10238,8468.0,sedan,1,0,1,0.0,0.0
75,65+,male,majority,30y+,none,poverty,0.46,1.0,after 2015,1.0,0.0,10238,10947.0,sedan,0,0,2,0.0,0.0
76,65+,female,majority,30y+,none,working class,0.62,0.0,before 2015,1.0,0.0,10238,1740.0,sedan,0,0,0,0.0,0.0
77,26-39,male,majority,10-19y,none,middle class,0.56,1.0,after 2015,1.0,0.0,10238,7891.0,sedan,1,0,0,0.0,0.0
78,26-39,female,majority,0-9y,none,middle class,0.41,0.0,before 2015,1.0,0.0,10238,8868.0,sedan,0,0,1,0.0,0.0
79,65+,female,majority,30y+,high school,middle class,0.59,0.0,before 2015,0.0,1.0,10238,1435.0,sedan,1,0,0,0.0,0.0
80,65+,male,majority,30y+,high school,middle class,0.41,0.0,after 2015,1.0,1.0,10238,4031.0,sedan,1,0,0,0.0,0.0
81,40-64,male,majority,20-29y,high school,poverty,0.62,0.0,before 2015,1.0,0.0,10238,8123.0,sports car,0,0,0,1.0,1044.37
82,26-39,male,majority,10-19y,high school,upper class,0.75,0.0,before 2015,1.0,0.0,10238,3736.0,sedan,1,1,0,0.0,0.0
83,40-64,female,majority,20-29y,none,middle class,0.34,0.0,after 2015,1.0,1.0,10238,9788.0,sedan,2,0,0,0.0,0.0
84,40-64,female,majority,20-29y,high school,middle class,0.63,1.0,before 2015,0.0,0.0,10238,7814.0,sports car,0,1,1,0.0,0.0
85,65+,male,majority,30y+,university,poverty,0.37,1.0,before 2015,1.0,0.0,10238,3169.0,sedan,0,0,1,0.0,0.0
86,26-39,male,majority,0-9y,none,poverty,0.59,1.0,before 2015,1.0,0.0,10238,11340.0,sedan,1,0,1,0.0,0.0
87,65+,male,majority,30y+,university,middle class,0.69,1.0,after 2015,0.0,1.0,10238,7589.0,sports car,0,0,0,0.0,0.0
88,40-64,female,majority,20-29y,none,poverty,0.4,1.0,before 2015,0.0,0.0,10238,1954.0,sedan,0,0,0,0.0,0.0
89,26-39,male,majority,0-9y,university,working class,0.52,0.0,before 2015,0.0,0.0,10238,1724.0,sports car,0,1,0,1.0,1148.88
90,65+,female,majority,20-29y,university,upper class,0.53,1.0,before 2015,0.0,1.0,10238,6174.0,sports car,1,0,0,0.0,0.0
91,26-39,male,majority,10-19y,university,poverty,0.64,0.0,before 2015,1.0,1.0,10238,8545.0,sedan,0,0,0,0.0,0.0
92,26-39,male,majority,0-9y,high school,poverty,0.35,1.0,before 2015,0.0,0.0,10238,10582.0,sedan,0,0,0,0.0,0.0
93,65+,male,majority,30y+,none,poverty,0.47,0.0,before 2015,1.0,1.0,10238,6792.0,sedan,0,0,1,0.0,0.0
94,40-64,male,majority,10-19y,none,poverty,0.42,0.0,after 2015,1.0,0.0,10238,6437.0,sedan,0,0,1,0.0,0.0
95,40-64,male,majority,20-29y,none,middle class,0.52,0.0,after 2015,0.0,0.0,10238,10304.0,sedan,1,0,1,0.0,0.0
96,26-39,male,majority,10-19y,university,middle class,0.44,1.0,after 2015,1.0,0.0,10238,7190.0,sedan,0,1,0,0.0,0.0
97,40-64,female,majority,10-19y,none,upper class,0.76,0.0,after 2015,1.0,1.0,10238,7573.0,sedan,0,0,0,0.0,0.0
98,40-64,female,majority,20-29y,university,working class,0.73,0.0,before 2015,1.0,1.0,10238,7139.0,sedan,0,0,1,0.0,0.0
99,40-64,male,majority,20-29y,high school,working class,0.33,1.0,before 2015,0.0,1.0,10238,5559.0,sedan,1,0,0,0.0,0.0
100,16-25,female,majority,0-9y,university,middle class,0.72,1.0,before 2015,1.0,1.0,10238,7383.0,sedan,0,1,0,0.0,0.0
101,26-39,male,majority,10-19y,high school,middle class,0.76,0.0,before 2015,0.0,1.0,10238,8391.0,sedan,0,0,1,0.0,0.0
102,40-64,female,majority,20-29y,university,poverty,0.38,1.0,after 2015,1.0,0.0,10238,8733.0,sedan,1,0,1,0.0,0.0
103,26-39,male,majority,10-19y,university,middle class,0.41,1.0,after 2015,1.0,0.0,10238,8028.0,sedan,1,0,1,0.0,0.0
104,40-64,male,majority,10-19y,high school,upper class,0.33,1.0,after 2015,0.0,1.0,10238,8370.0,sedan,0,0,1,0.0,0.0
105,40-64,female,majority,10-19y,university,working class,0.79,1.0,before 2015,0.0,0.0,10238,5643.0,sedan,2,0,0,0.0,0.0
106,26-39,male,majority,10-19y,high school,working class,0.69,1.0,after 2015,0.0,1.0,10238,1000.0,sedan,2,0,1,0.0,0.0
107,65+,female,majority,30y+,high school,middle class,0.51,1.0,after 2015,0.0,1.0,10238,12393.0,sedan,0,0,1,0.0,0.0
108,65+,male,majority,30y+,high school,upper class,0.8,1.0,after 2015,1.0,0.0,10238,8922.0,sedan,1,0,0,0.0,0.0
109,65+,female,majority,30y+,high school,working class,0.66,1.0,before 2015,1.0,0.0,10238,6334.0,sedan,0,0,0,0.0,0.0
110,26-39,male,majority,0-9y,university,upper class,0.45,0.0,after 2015,1.0,1.0,10238,3356.0,sedan,1,2,0,0.0,0.0
111,40-64,male,majority,20-29y,none,middle class,0.59,1.0,before 2015,1.0,1.0,10238,5990.0,sedan,1,0,0,0.0,0.0
112,40-64,male,majority,20-29y,none,working class,0.67,1.0,after 2015,1.0,0.0,10238,8055.0,sedan,1,0,0,0.0,0.0
113,65+,female,majority,30y+,high school,upper class,0.59,1.0,after 2015,1.0,0.0,10238,5531.0,sedan,1,0,0,1.0,5555.57
114,16-25,male,majority,0-9y,university,poverty,0.73,1.0,after 2015,0.0,1.0,10238,6529.0,sedan,1,0,1,0.0,0.0
115,40-64,female,majority,10-19y,university,middle class,0.78,0.0,after 2015,0.0,1.0,10238,10187.0,sports car,0,0,0,0.0,0.0
116,65+,male,majority,30y+,university,poverty,0.39,0.0,before 2015,1.0,0.0,10238,3110.0,sedan,1,0,1,1.0,656.82
117,40-64,female,majority,10-19y,none,poverty,0.64,0.0,before 2015,1.0,0.0,10238,9182.0,sedan,1,0,0,0.0,0.0
118,26-39,male,majority,10-19y,high school,working class,0.36,0.0,after 2015,0.0,0.0,10238,7155.0,sedan,0,0,0,0.0,0.0
119,26-39,female,majority,0-9y,high school,upper class,0.42,0.0,after 2015,1.0,0.0,10238,10324.0,sedan,0,0,0,0.0,0.0
120,65+,female,majority,30y+,university,working class,0.61,0.0,after 2015,1.0,1.0,10238,3880.0,sedan,0,0,2,0.0,0.0
121,40-64,female,majority,20-29y,none,poverty,0.59,1.0,after 2015,1.0,1.0,10238,3731.0,sedan,1,1,2,0.0,0.0
122,40-64,female,majority,20-29y,high school,middle class,0.77,1.0,after 2015,1.0,0.0,10238,11893.0,sedan,1,0,0,0.0,0.0
123,40-64,male,majority,10-19y,university,upper class,0.66,0.0,before 2015,0.0,0.0,10238,10514.0,sedan,0,0,0,0.0,0.0
124,40-64,female,majority,20-29y,high school,poverty,0.5,0.0,before 2015,1.0,1.0,10238,13085.0,sedan,0,0,0,0.0,0.0
125,26-39,female,majority,0-9y,university,upper class,0.45,0.0,after 2015,1.0,1.0,10238,6550.0,sedan,1,0,0,0.0,0.0
126,65+,male,majority,30y+,university,middle class,0.68,0.0,after 2015,0.0,0.0,10238,2097.0,sedan,0,0,0,0.0,0.0
127,26-39,female,majority,10-19y,high school,upper class,0.53,1.0,after 2015,1.0,0.0,10238,14367.0,sports car,2,0,2,1.0,7933.85
128,26-39,male,majority,10-19y,university,working class,0.8,0.0,after 2015,1.0,0.0,10238,6941.0,sedan,1,0,2,0.0,0.0
129,26-39,female,majority,0-9y,none,working class,0.41,0.0,before 2015,1.0,1.0,10238,8657.0,sedan,2,0,1,1.0,3556.43
130,26-39,male,majority,0-9y,high school,poverty,0.77,0.0,before 2015,0.0,1.0,10238,7796.0,sedan,0,0,1,0.0,0.0
131,26-39,female,majority,10-19y,university,poverty,0.74,1.0,before 2015,1.0,1.0,10238,5695.0,sedan,0,0,0,0.0,0.0
132,26-39,female,majority,0-9y,high school,upper class,0.38,0.0,before 2015,1.0,1.0,10238,4927.0,sedan,0,0,0,0.0,0.0
133,26-39,male,majority,10-19y,none,upper class,0.65,0.0,after 2015,0.0,1.0,10238,10715.0,sedan,1,0,0,0.0,0.0
134,26-39,female,majority,0-9y,high school,poverty,0.79,0.0,after 2015,0.0,1.0,10238,6355.0,sedan,0,0,0,0.0,0.0
135,65+,male,majority,30y+,none,middle class,0.3,1.0,after 2015,0.0,1.0,10238,4255.0,sedan,1,1,0,0.0,0.0
136,26-39,male,majority,10-19y,none,poverty,0.45,1.0,before 2015,1.0,1.0,10238,7243.0,sedan,0,0,1,0.0,0.0
137,40-64,female,majority,20-29y,high school,poverty,0.77,0.0,after 2015,0.0,0.0,10238,3788.0,sedan,0,0,0,0.0,0.0
138,26-39,female,majority,10-19y,high school,middle class,0.36,0.0,after 2015,1.0,0.0,10238,4330.0,sedan,0,0,0,0.0,0.0
139,40-64,male,majority,10-19y,university,upper class,0.58,1.0,before 2015,0.0,0.0,10238,7802.0,sports car,0,0,0,1.0,4112.14
140,65+,female,majority,30y+,high school,upper class,0.6,1.0,after 2015,0.0,1.0,10238,6924.0,sedan,0,0,0,0.0,0.0
141,26-39,female,majority,10-19y,university,upper class,0.4,0.0,after 2015,1.0,1.0,10238,9453.0,sedan,0,0,2,0.0,0.0
142,65+,female,majority,30y+,university,poverty,0.43,0.0,after 2015,1.0,0.0,10238,4100.0,sedan,0,1,2,0.0,0.0
143,26-39,male,majority,10-19y,university,upper class,0.75,1.0,after 2015,0.0,1.0,10238,8251.0,sedan,1,0,0,0.0,0.0
144,26-39,female,majority,10-19y,university,middle class,0.35,1.0,after 2015,1.0,0.0,10238,2899.0,sedan,1,0,0,0.0,0.0
145,26-39,female,majority,10-19y,university,working class,0.44,1.0,before 2015,0.0,0.0,10238,6325.0,sedan,0,0,1,0.0,0.0
146,16-25,female,majority,0-9y,university,poverty,0.69,1.0,after 2015,0.0,0.0,10238,7358.0,sedan,0,0,0,1.0,1857.4
147,40-64,female,majority,20-29y,high school,poverty,0.43,0.0,before 2015,1.0,0.0,10238,6078.0,sedan,2,0,0,0.0,0.0
148,65+,female,majority,30y+,university,middle class,0.58,1.0,after 2015,0.0,1.0,10238,10078.0,sedan,1,0,0,0.0,0.0
149,26-39,female,majority,10-19y,university,upper class,0.3,0.0,after 2015,0.0,0.0,10238,9379.0,sedan,0,0,0,0.0,0.0
150,65+,female,majority,30y+,none,poverty,0.74,1.0,after 2015,1.0,1.0,10238,10683.0,sedan,0,0,0,1.0,1898.07
151,65+,male,majority,30y+,none,working class,0.57,0.0,after 2015,0.0,0.0,10238,5691.0,sedan,0,0,0,0.0,0.0
152,65+,male,majority,20-29y,high school,working class,0.59,0.0,before 2015,1.0,0.0,10238,5069.0,sports car,0,0,0,0.0,0.0
153,16-25,male,majority,0-9y,university,working class,0.36,1.0,after 2015,0.0,1.0,10238,9783.0,sports car,1,0,0,1.0,2711.41
154,65+,female,majority,30y+,high school,middle class,0.75,0.0,before 2015,1.0,0.0,10238,3156.0,sedan,0,0,0,0.0,0.0
155,65+,female,majority,30y+,high school,working class,0.73,0.0,before 2015,1.0,1.0,10238,3883.0,sedan,0,0,0,0.0,0.0
156,40-64,male,majority,20-29y,university,upper class,0.41,1.0,before 2015,1.0,0.0,10238,8508.0,sedan,1,0,0,0.0,0.0
157,26-39,female,majority,10-19y,high school,working class,0.35,1.0,after 2015,0.0,1.0,10238,5132.0,sedan,2,0,1,0.0,0.0
158,40-64,female,majority,20-29y,high school,poverty,0.74,1.0,before 2015,0.0,1.0,10238,8434.0,sedan,0,0,2,0.0,0.0
159,40-64,male,majority,10-19y,university,poverty,0.61,1.0,after 2015,0.0,0.0,10238,5637.0,sedan,1,0,0,0.0,0.0
160,40-64,female,majority,20-29y,high school,working class,0.76,1.0,after 2015,0.0,0.0,10238,4538.0,sedan,0,0,0,0.0,0.0
161,40-64,female,majority,10-19y,high school,working class,0.79,1.0,before 2015,0.0,1.0,10238,6267.0,sedan,1,0,0,0.0,0.0
162,26-39,female,majority,10-19y,university,upper class,0.74,0.0,after 2015,1.0,0.0,10238,7332.0,sedan,1,0,0,0.0,0.0
163,65+,male,majority,30y+,university,middle class,0.67,0.0,after 2015,0.0,1.0,10238,3927.0,sports car,1,1,0,1.0,19036.1
164,65+,male,majority,20-29y,none,middle class,0.77,0.0,before 2015,0.0,0.0,10238,5416.0,sedan,0,0,2,0.0,0.0
165,65+,female,majority,30y+,high school,upper class,0.73,1.0,before 2015,0.0,1.0,10238,9314.0,sedan,2,0,0,0.0,0.0
166,26-39,male,majority,10-19y,university,middle class,0.43,0.0,after 2015,1.0,1.0,10238,6699.0,sedan,1,0,1,0.0,0.0
167,26-39,female,majority,0-9y,high school,middle class,0.35,0.0,before 2015,1.0,1.0,10238,6388.0,sedan,0,0,1,0.0,0.0
168,40-64,female,majority,10-19y,high school,poverty,0.73,0.0,after 2015,0.0,1.0,10238,10479.0,sports car,0,0,0,0.0,0.0
169,26-39,male,majority,10-19y,none,poverty,0.71,0.0,before 2015,1.0,0.0,10238,5869.0,sedan,0,0,1,0.0,0.0
170,40-64,male,majority,10-19y,none,poverty,0.45,1.0,after 2015,1.0,1.0,10238,11315.0,sedan,1,0,1,0.0,0.0
171,16-25,female,majority,0-9y,none,middle class,0.41,1.0,after 2015,1.0,0.0,10238,7629.0,sedan,0,0,0,0.0,0.0
172,16-25,male,majority,0-9y,high school,middle class,0.4,1.0,after 2015,1.0,1.0,10238,9527.0,sedan,0,0,1,1.0,3419.62
173,26-39,male,majority,10-19y,none,working class,0.73,1.0,before 2015,1.0,0.0,10238,6816.0,sports car,1,0,2,0.0,0.0
174,40-64,female,majority,10-19y,none,poverty,0.44,1.0,before 2015,0.0,0.0,10238,4792.0,sedan,0,0,0,0.0,0.0
175,26-39,female,majority,10-19y,none,upper class,0.5,1.0,after 2015,0.0,0.0,10238,5995.0,sedan,0,0,0,0.0,0.0
176,65+,female,majority,30y+,none,middle class,0.57,0.0,before 2015,0.0,0.0,10238,5789.0,sedan,1,2,0,0.0,0.0
177,40-64,male,majority,20-29y,none,poverty,0.36,1.0,after 2015,1.0,1.0,10238,4583.0,sedan,1,0,1,0.0,0.0
178,26-39,female,majority,10-19y,high school,working class,0.39,1.0,before 2015,1.0,1.0,10238,8789.0,sports car,0,0,0,0.0,0.0
179,65+,male,majority,30y+,high school,poverty,0.43,0.0,after 2015,0.0,1.0,10238,10651.0,sedan,2,0,0,0.0,0.0
180,40-64,female,majority,20-29y,none,upper class,0.52,0.0,before 2015,1.0,0.0,10238,11563.0,sedan,0,0,0,0.0,0.0
181,26-39,male,majority,0-9y,none,middle class,0.46,0.0,before 2015,1.0,0.0,10238,8541.0,sedan,1,0,0,0.0,0.0
182,26-39,female,majority,10-19y,none,upper class,0.56,1.0,before 2015,0.0,1.0,10238,7538.0,sedan,1,0,0,0.0,0.0
183,16-25,female,majority,0-9y,university,middle class,0.59,1.0,before 2015,0.0,1.0,10238,5694.0,sedan,0,1,0,0.0,0.0
184,65+,female,majority,30y+,high school,poverty,0.65,0.0,after 2015,1.0,0.0,10238,9251.0,sedan,0,0,0,0.0,0.0
185,26-39,male,majority,0-9y,university,upper class,0.76,1.0,after 2015,1.0,0.0,10238,8966.0,sedan,0,0,2,1.0,13735.29
186,65+,female,majority,20-29y,none,middle class,0.66,1.0,before 2015,0.0,0.0,10238,4798.0,sedan,0,0,1,0.0,0.0
187,65+,female,majority,30y+,high school,upper class,0.64,1.0,before 2015,0.0,0.0,10238,7108.0,sedan,0,0,0,0.0,0.0
188,65+,female,majority,30y+,high school,upper class,0.33,0.0,before 2015,1.0,1.0,10238,7226.0,sedan,1,0,0,0.0,0.0
189,40-64,female,majority,20-29y,none,upper class,0.47,1.0,after 2015,0.0,1.0,10238,2194.0,sedan,0,0,0,0.0,0.0
190,26-39,male,majority,0-9y,none,poverty,0.72,1.0,before 2015,1.0,0.0,10238,4317.0,sedan,0,0,0,0.0,0.0
191,26-39,male,majority,10-19y,high school,middle class,0.45,1.0,after 2015,0.0,0.0,10238,4991.0,sedan,1,0,0,0.0,0.0
192,65+,male,majority,30y+,none,upper class,0.5,1.0,before 2015,1.0,1.0,10238,5802.0,sedan,2,0,3,0.0,0.0
193,40-64,male,majority,20-29y,none,middle class,0.45,1.0,after 2015,1.0,1.0,10238,5041.0,sedan,1,0,0,0.0,0.0
194,40-64,female,majority,20-29y,university,working class,0.51,0.0,before 2015,0.0,1.0,10238,6325.0,sedan,0,0,0,0.0,0.0
195,40-64,female,majority,10-19y,university,upper class,0.64,1.0,before 2015,0.0,1.0,10238,5049.0,sedan,0,0,2,0.0,0.0
196,40-64,male,majority,20-29y,university,upper class,0.61,0.0,after 2015,1.0,0.0,10238,1121.0,sedan,1,0,0,0.0,0.0
197,26-39,female,majority,10-19y,university,middle class,0.57,1.0,after 2015,0.0,0.0,10238,9197.0,sedan,0,0,0,0.0,0.0
198,26-39,male,majority,0-9y,none,middle class,0.44,1.0,before 2015,1.0,0.0,10238,11191.0,sedan,0,0,0,1.0,65326.64
