ID,AGE,GENDER,REGION,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SAFETY_RATING,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME,CLAIM_AMOUNT
99,26-39,female,North West,0-9y,high_school,working_class,0.483,1.0,before_2010,1.0,1.0,45678,7608.0,family_sedan,standard,0,0,0,0.0,0.0
100,65+,male,Wales,30y+,university,middle_class,0.38,1.0,after_2020,0.0,0.0,67890,5312.0,family_sedan,standard,1,0,0,0.0,0.0
101,26-39,male,South West,10-19y,university,middle_class,0.628,1.0,before_2010,1.0,0.0,67890,5321.0,family_sedan,standard,0,0,0,0.0,0.0
102,16-25,female,East Anglia,0-2y,high_school,middle_class,0.766,1.0,before_2010,1.0,1.0,67890,4212.0,sports_car,basic,0,0,0,0.0,0.0
103,40-64,female,West Midlands,20-29y,university,working_class,0.398,1.0,2016-2020,0.0,0.0,45678,2745.0,suv,standard,0,0,0,0.0,0.0
104,40-64,female,Scotland,20-29y,high_school,middle_class,0.316,1.0,2016-2020,1.0,1.0,67890,8759.0,mpv,advanced,0,0,0,0.0,0.0
105,40-64,male,London,20-29y,university,poverty,0.271,1.0,before_2010,0.0,1.0,45678,7437.0,luxury_sedan,standard,0,0,0,0.0,0.0
106,26-39,female,Wales,0-9y,university,poverty,0.451,1.0,after_2020,1.0,0.0,67890,11731.0,sports_car,basic,0,0,1,0.0,0.0
107,16-25,male,North East,0-2y,university,working_class,0.468,1.0,before_2010,0.0,1.0,10238,8610.0,luxury_sedan,basic,0,0,0,0.0,0.0
108,65+,female,London,30y+,university,middle_class,0.437,1.0,2016-2020,1.0,1.0,78901,5890.0,family_sedan,standard,0,0,1,0.0,0.0
109,26-39,female,East Midlands,10-19y,university,working_class,0.471,0.0,2016-2020,0.0,1.0,45678,10875.0,family_sedan,basic,0,0,1,0.0,0.0
110,65+,female,Wales,30y+,high_school,middle_class,0.904,1.0,2010-2015,1.0,0.0,54321,4128.0,suv,basic,0,0,0,0.0,0.0
111,40-64,female,West Midlands,20-29y,postgraduate,middle_class,0.948,0.0,2010-2015,1.0,0.0,67890,3006.0,suv,basic,1,0,0,0.0,0.0
112,40-64,female,West Midlands,20-29y,university,upper_class,0.951,1.0,2010-2015,0.0,0.0,10238,5660.0,suv,advanced,0,0,0,0.0,0.0
113,16-25,female,Wales,0-2y,postgraduate,middle_class,0.773,1.0,after_2020,0.0,0.0,32765,7470.0,sports_car,basic,1,0,1,0.0,0.0
114,26-39,male,Wales,0-9y,university,middle_class,0.446,1.0,after_2020,1.0,0.0,32765,7020.0,small_hatchback,standard,0,0,0,0.0,0.0
115,26-39,male,Yorkshire,0-9y,high_school,poverty,0.388,1.0,before_2010,0.0,0.0,10238,6920.0,suv,advanced,1,0,1,0.0,0.0
116,40-64,female,South East,20-29y,high_school,middle_class,0.488,1.0,before_2010,1.0,1.0,45678,4097.0,luxury_sedan,basic,1,0,1,1.0,390.0
117,40-64,male,Yorkshire,20-29y,university,working_class,0.741,1.0,2016-2020,1.0,0.0,10238,9423.0,suv,standard,0,0,0,0.0,0.0
118,26-39,female,East Anglia,0-9y,high_school,working_class,0.629,1.0,2010-2015,1.0,1.0,67890,7453.0,sports_car,advanced,1,0,0,0.0,0.0
119,40-64,male,North East,20-29y,high_school,middle_class,0.771,1.0,2016-2020,1.0,0.0,54321,9633.0,suv,standard,0,0,0,0.0,0.0
120,40-64,male,East Anglia,20-29y,postgraduate,middle_class,0.47,1.0,2010-2015,0.0,0.0,45678,8575.0,family_sedan,standard,0,0,0,0.0,0.0
121,26-39,female,London,10-19y,university,upper_class,0.54,1.0,2010-2015,1.0,0.0,78901,2380.0,family_sedan,standard,0,0,0,0.0,0.0
122,65+,male,West Midlands,30y+,postgraduate,middle_class,0.752,0.0,2010-2015,1.0,0.0,67890,4081.0,luxury_sedan,standard,0,0,0,0.0,0.0
123,40-64,male,Wales,20-29y,high_school,working_class,0.541,1.0,2016-2020,1.0,1.0,32765,8362.0,luxury_sedan,standard,0,0,0,0.0,0.0
124,40-64,female,South East,20-29y,high_school,working_class,0.502,1.0,2016-2020,1.0,0.0,45678,7232.0,suv,standard,2,0,0,0.0,0.0
125,40-64,female,Wales,20-29y,high_school,working_class,0.381,1.0,after_2020,1.0,1.0,45678,7563.0,luxury_sedan,advanced,0,0,0,0.0,0.0
126,65+,female,Yorkshire,30y+,university,middle_class,0.381,1.0,before_2010,1.0,1.0,54321,4379.0,suv,standard,1,0,0,0.0,0.0
127,26-39,male,Scotland,10-19y,postgraduate,middle_class,0.536,1.0,2016-2020,1.0,1.0,45678,10412.0,family_sedan,standard,1,0,0,1.0,2000.0
128,26-39,male,Scotland,0-9y,university,middle_class,0.661,1.0,before_2010,1.0,1.0,67890,8115.0,family_sedan,standard,0,1,1,1.0,638.63
129,40-64,female,Scotland,20-29y,university,middle_class,0.729,1.0,2016-2020,0.0,0.0,67890,9357.0,family_sedan,basic,1,0,0,0.0,0.0
130,65+,female,North West,30y+,university,working_class,0.464,1.0,2016-2020,1.0,1.0,78901,6510.0,luxury_sedan,standard,0,0,0,0.0,0.0
131,26-39,female,West Midlands,10-19y,university,upper_class,0.922,1.0,2016-2020,0.0,0.0,32765,5288.0,family_sedan,advanced,0,0,0,0.0,0.0
132,40-64,female,Scotland,20-29y,university,upper_class,0.828,1.0,after_2020,0.0,1.0,67890,5893.0,luxury_sedan,standard,1,0,0,0.0,0.0
133,65+,male,Yorkshire,20-29y,high_school,working_class,0.317,1.0,before_2010,1.0,0.0,45678,7610.0,family_sedan,standard,1,0,0,1.0,1703.33
134,40-64,female,London,10-19y,high_school,working_class,0.404,1.0,2010-2015,1.0,0.0,32765,6051.0,small_hatchback,standard,0,0,0,0.0,0.0
135,16-25,male,East Midlands,0-2y,high_school,middle_class,0.786,1.0,after_2020,0.0,1.0,67890,3581.0,small_hatchback,standard,0,0,0,1.0,2700.18
136,40-64,female,West Midlands,10-19y,university,working_class,0.532,0.0,2016-2020,1.0,1.0,78901,3250.0,family_sedan,standard,0,0,0,0.0,0.0
137,40-64,female,East Midlands,20-29y,high_school,upper_class,0.927,1.0,before_2010,0.0,0.0,78901,8565.0,small_hatchback,standard,0,0,0,0.0,0.0
138,40-64,male,South East,20-29y,high_school,upper_class,0.794,1.0,2016-2020,1.0,0.0,10238,10339.0,family_sedan,advanced,2,0,1,0.0,0.0
139,40-64,female,London,20-29y,postgraduate,working_class,0.503,1.0,2010-2015,0.0,0.0,78901,3493.0,luxury_sedan,basic,0,0,1,0.0,0.0
140,65+,female,North East,30y+,university,poverty,0.17,0.0,2016-2020,0.0,0.0,78901,2790.0,family_sedan,standard,0,0,0,0.0,0.0
141,26-39,female,South East,0-9y,high_school,middle_class,0.738,1.0,2016-2020,0.0,0.0,32765,8930.0,luxury_sedan,advanced,1,0,0,0.0,0.0
142,16-25,male,North West,3-5y,none,middle_class,0.767,1.0,after_2020,0.0,0.0,10238,4865.0,sports_car,advanced,0,0,1,0.0,0.0
143,40-64,female,Scotland,20-29y,university,working_class,0.419,1.0,2016-2020,0.0,0.0,54321,4188.0,small_hatchback,basic,0,0,0,0.0,0.0
144,40-64,male,Scotland,20-29y,high_school,working_class,0.467,0.0,2010-2015,1.0,0.0,10238,9828.0,suv,basic,0,0,0,0.0,0.0
145,26-39,female,East Anglia,10-19y,high_school,working_class,0.364,1.0,after_2020,1.0,0.0,45678,7485.0,luxury_sedan,basic,0,0,0,0.0,0.0
146,40-64,female,East Midlands,10-19y,university,poverty,0.062,0.0,2016-2020,0.0,1.0,67890,11532.0,family_sedan,advanced,0,0,0,0.0,0.0
147,40-64,female,South East,20-29y,university,upper_class,0.977,1.0,before_2010,1.0,0.0,45678,13722.0,family_sedan,advanced,0,0,0,0.0,0.0
148,65+,female,Scotland,30y+,high_school,poverty,0.08,1.0,after_2020,0.0,1.0,54321,6295.0,luxury_sedan,basic,1,0,0,0.0,0.0
149,26-39,female,Yorkshire,10-19y,university,middle_class,0.546,1.0,after_2020,1.0,0.0,78901,9405.0,luxury_sedan,standard,0,0,0,0.0,0.0
150,26-39,male,South West,10-19y,high_school,upper_class,0.747,1.0,2016-2020,1.0,0.0,45678,8583.0,small_hatchback,advanced,0,0,0,0.0,0.0
151,26-39,female,East Anglia,0-9y,postgraduate,upper_class,0.745,1.0,after_2020,1.0,0.0,54321,10815.0,suv,advanced,0,0,0,0.0,0.0
152,40-64,male,South West,20-29y,high_school,middle_class,0.838,1.0,2016-2020,1.0,0.0,78901,9643.0,family_sedan,advanced,0,0,0,0.0,0.0
153,26-39,male,East Anglia,0-9y,university,middle_class,0.814,1.0,before_2010,0.0,0.0,67890,5741.0,sports_car,advanced,0,0,0,1.0,743.18
154,40-64,male,North East,10-19y,none,middle_class,0.599,1.0,2010-2015,1.0,1.0,45678,5833.0,family_sedan,basic,1,0,0,0.0,0.0
155,26-39,male,Scotland,10-19y,university,middle_class,0.789,1.0,before_2010,0.0,0.0,32765,5731.0,family_sedan,basic,0,0,0,0.0,0.0
156,40-64,male,East Anglia,20-29y,high_school,upper_class,0.873,1.0,after_2020,1.0,1.0,10238,11641.0,small_hatchback,standard,0,0,0,0.0,0.0
157,26-39,female,North East,0-9y,postgraduate,middle_class,0.515,1.0,2010-2015,1.0,1.0,32765,7054.0,family_sedan,advanced,0,0,0,0.0,0.0
158,16-25,female,South West,0-2y,university,middle_class,0.498,1.0,before_2010,0.0,0.0,32765,6249.0,sports_car,basic,1,0,0,0.0,0.0
159,40-64,female,Yorkshire,20-29y,high_school,working_class,0.49,1.0,before_2010,1.0,1.0,54321,8099.0,luxury_sedan,standard,0,0,0,0.0,0.0
160,40-64,male,North East,20-29y,high_school,middle_class,0.619,1.0,2016-2020,1.0,1.0,78901,6178.0,suv,basic,0,0,0,0.0,0.0
161,40-64,female,North West,10-19y,high_school,middle_class,0.783,1.0,2010-2015,1.0,1.0,32765,2474.0,family_sedan,advanced,0,0,0,0.0,0.0
162,40-64,female,South East,10-19y,high_school,upper_class,0.82,1.0,2016-2020,0.0,0.0,32765,8218.0,suv,basic,0,0,1,0.0,0.0
163,26-39,female,East Midlands,0-9y,postgraduate,upper_class,0.776,1.0,2016-2020,1.0,1.0,10238,5968.0,family_sedan,standard,0,0,0,0.0,0.0
164,40-64,female,Wales,20-29y,high_school,poverty,0.097,1.0,2010-2015,0.0,0.0,32765,9411.0,luxury_sedan,advanced,0,0,0,0.0,0.0
165,65+,male,Scotland,30y+,university,poverty,0.249,1.0,before_2010,1.0,1.0,45678,3876.0,family_sedan,standard,0,0,0,1.0,1010.0
166,40-64,male,Yorkshire,20-29y,postgraduate,middle_class,0.861,1.0,2016-2020,0.0,1.0,10238,5823.0,luxury_sedan,advanced,0,0,1,0.0,0.0
167,26-39,female,London,10-19y,high_school,middle_class,0.571,1.0,before_2010,0.0,0.0,54321,5022.0,suv,standard,1,0,0,0.0,0.0
168,40-64,male,Scotland,20-29y,university,middle_class,0.429,1.0,before_2010,1.0,0.0,54321,6083.0,luxury_sedan,basic,0,0,1,0.0,0.0
169,26-39,female,London,0-9y,high_school,middle_class,0.714,1.0,2010-2015,0.0,0.0,67890,12972.0,small_hatchback,standard,0,0,1,0.0,0.0
170,65+,male,South West,30y+,postgraduate,working_class,0.273,0.0,2010-2015,1.0,1.0,67890,4162.0,suv,standard,0,0,0,0.0,0.0
171,26-39,male,South East,10-19y,university,middle_class,0.419,1.0,before_2010,1.0,1.0,78901,8935.0,sports_car,standard,0,0,0,0.0,0.0
172,26-39,male,North West,10-19y,university,working_class,0.428,1.0,2016-2020,0.0,0.0,67890,3396.0,suv,standard,0,0,0,1.0,2000.0
173,26-39,female,London,0-9y,high_school,middle_class,0.658,1.0,2010-2015,0.0,0.0,54321,4996.0,family_sedan,advanced,0,0,0,0.0,0.0
174,65+,female,North East,30y+,high_school,middle_class,0.667,0.0,2010-2015,0.0,0.0,45678,5703.0,luxury_sedan,standard,0,0,0,0.0,0.0
175,26-39,male,North West,10-19y,postgraduate,poverty,0.139,0.0,2010-2015,1.0,1.0,78901,4855.0,family_sedan,standard,1,0,0,0.0,0.0
