date,region,weather_condition,traffic_baseline,visibility_meters
2025-04-26,London,Fog,Moderate,3398
2025-04-27,London,Storm,Moderate,2554
2025-04-28,London,Rain,Gridlock,1621
2025-04-29,London,Clear,Heavy,10000
2025-04-30,London,Storm,Gridlock,2376
2025-05-01,London,Rain,Gridlock,645
2025-05-02,London,Fog,Gridlock,445
2025-05-03,London,Storm,Moderate,4410
2025-05-04,London,Clear,Heavy,10000
2025-05-05,London,Storm,Gridlock,3190
2025-05-06,London,Clear,Gridlock,10000
2025-05-07,London,Rain,Gridlock,2206
2025-05-08,London,Storm,Gridlock,4779
2025-05-09,London,Rain,Heavy,4896
2025-05-10,London,Clear,Moderate,10000
2025-05-11,London,Rain,Light,1592
2025-05-12,London,Rain,Heavy,2731
2025-05-13,London,Clear,Heavy,10000
2025-05-14,London,Rain,Gridlock,1730
2025-05-15,London,Storm,Gridlock,3191
2025-05-16,London,Rain,Heavy,2264
2025-05-17,London,Rain,Heavy,4184
2025-05-18,London,Rain,Light,4899
2025-05-19,London,Rain,Heavy,4974
2025-05-20,London,Fog,Gridlock,4335
2025-05-21,London,Rain,Heavy,978
2025-05-22,London,Clear,Heavy,10000
2025-05-23,London,Storm,Gridlock,2983
2025-05-24,London,Storm,Heavy,1300
2025-05-25,London,Rain,Light,1306
2025-05-26,London,Clear,Gridlock,10000
2025-05-27,London,Rain,Gridlock,1403
2025-05-28,London,Storm,Gridlock,717
2025-05-29,London,Clear,Gridlock,10000
2025-05-30,London,Clear,Heavy,10000
2025-05-31,London,Clear,Light,10000
2025-06-01,London,Clear,Light,10000
2025-06-02,London,Clear,Gridlock,10000
2025-06-03,London,Clear,Heavy,10000
2025-06-04,London,Fog,Gridlock,1994
2025-06-05,London,Clear,Gridlock,10000
2025-06-06,London,Clear,Heavy,10000
2025-06-07,London,Rain,Heavy,4998
2025-06-08,London,Rain,Light,4834
2025-06-09,London,Rain,Gridlock,434
2025-06-10,London,Clear,Gridlock,10000
2025-06-11,London,Clear,Gridlock,10000
2025-06-12,London,Clear,Gridlock,10000
2025-06-13,London,Clear,Heavy,10000
2025-06-14,London,Clear,Light,10000
2025-06-15,London,Clear,Moderate,10000
2025-06-16,London,Rain,Heavy,1624
2025-06-17,London,Clear,Gridlock,10000
2025-06-18,London,Clear,Gridlock,10000
2025-06-19,London,Clear,Gridlock,10000
2025-06-20,London,Clear,Gridlock,10000
2025-06-21,London,Clear,Moderate,10000
2025-06-22,London,Clear,Light,10000
2025-06-23,London,Clear,Gridlock,10000
2025-06-24,London,Clear,Gridlock,10000
2025-06-25,London,Clear,Gridlock,10000
2025-06-26,London,Clear,Gridlock,10000
2025-06-27,London,Fog,Gridlock,2882
2025-06-28,London,Clear,Light,10000
2025-06-29,London,Storm,Light,4350
2025-06-30,London,Clear,Heavy,10000
2025-07-01,London,Clear,Gridlock,10000
2025-07-02,London,Clear,Heavy,10000
2025-07-03,London,Clear,Gridlock,10000
2025-07-04,London,Clear,Gridlock,10000
2025-07-05,London,Clear,Moderate,10000
2025-07-06,London,Clear,Light,10000
2025-07-07,London,Clear,Gridlock,10000
2025-07-08,London,Clear,Heavy,10000
2025-07-09,London,Clear,Heavy,10000
2025-07-10,London,Clear,Gridlock,10000
2025-07-11,London,Clear,Heavy,10000
2025-07-12,London,Rain,Light,1326
2025-07-13,London,Storm,Moderate,105
2025-07-14,London,Clear,Heavy,10000
2025-07-15,London,Clear,Heavy,10000
2025-07-16,London,Clear,Gridlock,10000
2025-07-17,London,Clear,Heavy,10000
2025-07-18,London,Clear,Heavy,10000
2025-07-19,London,Clear,Light,10000
2025-07-20,London,Clear,Light,10000
2025-07-21,London,Clear,Heavy,10000
2025-07-22,London,Rain,Gridlock,116
2025-07-23,London,Clear,Gridlock,10000
2025-07-24,London,Rain,Gridlock,2522
2025-07-25,London,Clear,Gridlock,10000
2025-07-26,London,Clear,Light,10000
2025-07-27,London,Clear,Heavy,10000
2025-07-28,London,Clear,Heavy,10000
2025-07-29,London,Clear,Heavy,10000
2025-07-30,London,Rain,Gridlock,292
2025-07-31,London,Clear,Gridlock,10000
2025-08-01,London,Rain,Gridlock,695
2025-08-02,London,Storm,Light,4339
2025-08-03,London,Clear,Moderate,10000
2025-08-04,London,Clear,Heavy,10000
2025-08-05,London,Clear,Gridlock,10000
2025-08-06,London,Clear,Gridlock,10000
2025-08-07,London,Clear,Heavy,10000
2025-08-08,London,Clear,Heavy,10000
2025-08-09,London,Clear,Light,10000
2025-08-10,London,Clear,Heavy,10000
2025-08-11,London,Clear,Heavy,10000
2025-08-12,London,Clear,Gridlock,10000
2025-08-13,London,Clear,Heavy,10000
2025-08-14,London,Fog,Gridlock,4479
2025-08-15,London,Fog,Heavy,1620
2025-08-16,London,Fog,Moderate,3693
2025-08-17,London,Rain,Light,922
2025-08-18,London,Rain,Gridlock,2948
2025-08-19,London,Clear,Heavy,10000
2025-08-20,London,Rain,Gridlock,1368
2025-08-21,London,Rain,Gridlock,4720
2025-08-22,London,Clear,Gridlock,10000
2025-08-23,London,Clear,Moderate,10000
2025-08-24,London,Fog,Moderate,2020
2025-08-25,London,Clear,Gridlock,10000
2025-08-26,London,Clear,Gridlock,10000
2025-08-27,London,Clear,Gridlock,10000
2025-08-28,London,Storm,Gridlock,1000
2025-08-29,London,Clear,Gridlock,10000
2025-08-30,London,Clear,Moderate,10000
2025-08-31,London,Clear,Moderate,10000
2025-09-01,London,Clear,Gridlock,10000
2025-09-02,London,Rain,Gridlock,2421
2025-09-03,London,Rain,Gridlock,2005
2025-09-04,London,Rain,Heavy,4156
2025-09-05,London,Storm,Heavy,864
2025-09-06,London,Clear,Moderate,10000
2025-09-07,London,Storm,Light,3331
2025-09-08,London,Rain,Gridlock,3581
2025-09-09,London,Clear,Gridlock,10000
2025-09-10,London,Clear,Gridlock,10000
2025-09-11,London,Clear,Heavy,10000
2025-09-12,London,Clear,Gridlock,10000
2025-09-13,London,Clear,Light,10000
2025-09-14,London,Clear,Light,10000
2025-09-15,London,Fog,Heavy,2758
2025-09-16,London,Clear,Heavy,10000
2025-09-17,London,Rain,Heavy,586
2025-09-18,London,Fog,Gridlock,524
2025-09-19,London,Rain,Heavy,4908
2025-09-20,London,Clear,Light,10000
2025-09-21,London,Rain,Light,4430
2025-09-22,London,Rain,Heavy,3170
2025-09-23,London,Clear,Heavy,10000
2025-09-24,London,Rain,Gridlock,4472
2025-09-25,London,Rain,Gridlock,1001
2025-09-26,London,Fog,Heavy,4574
2025-09-27,London,Clear,Moderate,10000
2025-09-28,London,Rain,Light,3107
2025-09-29,London,Rain,Gridlock,996
2025-09-30,London,Clear,Gridlock,10000
2025-10-01,London,Storm,Heavy,1951
2025-10-02,London,Rain,Gridlock,1873
2025-10-03,London,Rain,Heavy,2856
2025-10-04,London,Clear,Light,10000
2025-10-05,London,Rain,Moderate,3360
2025-10-06,London,Rain,Gridlock,2193
2025-10-07,London,Storm,Gridlock,4033
2025-10-08,London,Clear,Heavy,10000
2025-10-09,London,Clear,Heavy,10000
2025-10-10,London,Clear,Heavy,10000
2025-10-11,London,Clear,Moderate,10000
2025-10-12,London,Rain,Moderate,3644
2025-10-13,London,Clear,Gridlock,10000
2025-10-14,London,Clear,Gridlock,10000
2025-10-15,London,Rain,Heavy,3627
2025-10-16,London,Rain,Gridlock,2729
2025-10-17,London,Storm,Heavy,4003
2025-10-18,London,Clear,Light,10000
2025-10-19,London,Rain,Moderate,3480
2025-10-20,London,Clear,Gridlock,10000
2025-10-21,London,Clear,Gridlock,10000
2025-10-22,London,Rain,Gridlock,2139
2025-10-23,London,Rain,Gridlock,4733
2025-10-24,London,Clear,Heavy,10000
2025-10-25,London,Storm,Moderate,4313
2025-10-26,London,Clear,Moderate,10000
2025-10-27,London,Rain,Gridlock,3078
2025-10-28,London,Clear,Heavy,10000
2025-10-29,London,Clear,Heavy,10000
2025-10-30,London,Rain,Heavy,2108
2025-10-31,London,Clear,Heavy,10000
2025-11-01,London,Rain,Light,2761
2025-11-02,London,Storm,Moderate,1835
2025-11-03,London,Clear,Gridlock,10000
2025-11-04,London,Clear,Gridlock,10000
2025-11-05,London,Clear,Heavy,10000
2025-11-06,London,Clear,Gridlock,10000
2025-11-07,London,Rain,Heavy,4276
2025-11-08,London,Clear,Light,10000
2025-11-09,London,Storm,Light,2372
2025-11-10,London,Clear,Gridlock,10000
2025-11-11,London,Rain,Gridlock,4157
2025-11-12,London,Rain,Gridlock,2758
2025-11-13,London,Rain,Gridlock,3776
2025-11-14,London,Rain,Gridlock,3409
2025-11-15,London,Rain,Heavy,4040
2025-11-16,London,Rain,Light,440
2025-11-17,London,Clear,Heavy,10000
2025-11-18,London,Storm,Gridlock,3344
2025-11-19,London,Fog,Heavy,3611
2025-11-20,London,Rain,Heavy,2717
2025-11-21,London,Clear,Gridlock,10000
2025-11-22,London,Clear,Moderate,10000
2025-11-23,London,Clear,Light,10000
2025-11-24,London,Rain,Heavy,2819
2025-11-25,London,Rain,Gridlock,3571
2025-11-26,London,Clear,Heavy,10000
2025-11-27,London,Fog,Gridlock,3860
2025-11-28,London,Clear,Heavy,10000
2025-11-29,London,Clear,Light,10000
2025-11-30,London,Rain,Moderate,1821
2025-12-01,London,Storm,Gridlock,3480
2025-12-02,London,Rain,Heavy,3550
2025-12-03,London,Rain,Heavy,4438
2025-12-04,London,Clear,Gridlock,10000
2025-12-05,London,Rain,Gridlock,2284
2025-12-06,London,Fog,Moderate,988
2025-12-07,London,Rain,Heavy,3465
2025-12-08,London,Rain,Heavy,4917
2025-12-09,London,Clear,Gridlock,10000
2025-12-10,London,Rain,Heavy,4371
2025-12-11,London,Rain,Gridlock,3895
2025-12-12,London,Fog,Heavy,3220
2025-12-13,London,Rain,Moderate,1964
2025-12-14,London,Rain,Moderate,2159
2025-12-15,London,Storm,Gridlock,4926
2025-12-16,London,Clear,Gridlock,10000
2025-12-17,London,Rain,Gridlock,2732
2025-12-18,London,Clear,Gridlock,10000
2025-12-19,London,Fog,Gridlock,1468
2025-12-20,London,Clear,Light,10000
2025-12-21,London,Rain,Light,4022
2025-12-22,London,Clear,Gridlock,10000
2025-12-23,London,Clear,Gridlock,10000
2025-12-24,London,Clear,Gridlock,10000
2025-12-25,London,Fog,Gridlock,3980
2025-12-26,London,Fog,Gridlock,2433
2025-12-27,London,Rain,Moderate,1754
2025-12-28,London,Rain,Light,1766
2025-12-29,London,Rain,Gridlock,606
2025-12-30,London,Fog,Gridlock,2769
2025-12-31,London,Rain,Heavy,2453
2025-01-01,South East,Rain,Heavy,1597
2025-01-02,South East,Clear,Heavy,10000
2025-01-03,South East,Rain,Gridlock,2114
2025-01-04,South East,Clear,Light,10000
2025-01-05,South East,Clear,Moderate,10000
2025-01-06,South East,Clear,Heavy,10000
2025-01-07,South East,Clear,Heavy,10000
2025-01-08,South East,Fog,Heavy,2432
2025-01-09,South East,Fog,Moderate,1937
2025-01-10,South East,Fog,Gridlock,1090
2025-01-11,South East,Fog,Moderate,935
2025-01-12,South East,Rain,Moderate,2403
2025-01-13,South East,Storm,Heavy,4861
2025-01-14,South East,Rain,Moderate,2478
2025-01-15,South East,Rain,Moderate,3154
2025-01-16,South East,Rain,Heavy,3044
2025-01-17,South East,Rain,Moderate,3603
2025-01-18,South East,Rain,Heavy,88
2025-01-19,South East,Rain,Moderate,1148
2025-01-20,South East,Clear,Moderate,10000
2025-01-21,South East,Rain,Heavy,3828
2025-01-22,South East,Snow,Moderate,1038
2025-01-23,South East,Fog,Heavy,4076
2025-01-24,South East,Snow,Heavy,4715
2025-01-25,South East,Fog,Light,2030
2025-01-26,South East,Clear,Moderate,10000
2025-01-27,South East,Rain,Heavy,2305
2025-01-28,South East,Rain,Moderate,1034
2025-01-29,South East,Fog,Heavy,640
2025-01-30,South East,Rain,Heavy,4494
2025-01-31,South East,Clear,Moderate,10000
2025-02-01,South East,Fog,Moderate,576
2025-02-02,South East,Rain,Light,3394
2025-02-03,South East,Rain,Heavy,570
2025-02-04,South East,Clear,Heavy,10000
2025-02-05,South East,Clear,Heavy,10000
2025-02-06,South East,Rain,Heavy,444
2025-02-07,South East,Storm,Moderate,3910
2025-02-08,South East,Clear,Light,10000
2025-02-09,South East,Rain,Moderate,1617
2025-02-10,South East,Rain,Heavy,2093
2025-02-11,South East,Fog,Moderate,263
2025-02-12,South East,Rain,Moderate,2986
2025-02-13,South East,Rain,Moderate,2770
2025-02-14,South East,Rain,Moderate,51
2025-02-15,South East,Rain,Moderate,1999
2025-02-16,South East,Clear,Light,10000
2025-02-17,South East,Rain,Moderate,139
2025-02-18,South East,Rain,Gridlock,3091
2025-02-19,South East,Clear,Heavy,10000
2025-02-20,South East,Snow,Moderate,684
2025-02-21,South East,Clear,Gridlock,10000
2025-02-22,South East,Clear,Moderate,10000
2025-02-23,South East,Rain,Moderate,1763
2025-02-24,South East,Rain,Heavy,4256
2025-02-25,South East,Fog,Moderate,257
2025-02-26,South East,Rain,Gridlock,459
2025-02-27,South East,Rain,Moderate,4159
2025-02-28,South East,Clear,Moderate,10000
2025-03-01,South East,Clear,Light,10000
2025-03-02,South East,Fog,Light,3688
2025-03-03,South East,Rain,Heavy,3854
2025-03-04,South East,Rain,Heavy,356
2025-03-05,South East,Clear,Moderate,10000
2025-03-06,South East,Rain,Heavy,361
2025-03-07,South East,Storm,Heavy,804
2025-03-08,South East,Rain,Light,402
2025-03-09,South East,Fog,Light,208
2025-03-10,South East,Rain,Gridlock,4661
2025-03-11,South East,Rain,Heavy,1005
2025-03-12,South East,Clear,Gridlock,10000
2025-03-13,South East,Rain,Heavy,3861
2025-03-14,South East,Fog,Gridlock,1847
2025-03-15,South East,Rain,Heavy,4331
2025-03-16,South East,Storm,Light,579
2025-03-17,South East,Rain,Heavy,2964
2025-03-18,South East,Rain,Heavy,4623
2025-03-19,South East,Clear,Heavy,10000
2025-03-20,South East,Storm,Moderate,4055
2025-03-21,South East,Rain,Heavy,4526
2025-03-22,South East,Rain,Moderate,3205
2025-03-23,South East,Rain,Light,2988
2025-03-24,South East,Clear,Heavy,10000
2025-03-25,South East,Fog,Moderate,4605
2025-03-26,South East,Clear,Gridlock,10000
2025-03-27,South East,Rain,Heavy,3828
2025-03-28,South East,Rain,Heavy,2941
2025-03-29,South East,Fog,Light,2410
2025-03-30,South East,Clear,Light,10000
2025-03-31,South East,Clear,Heavy,10000
2025-04-01,South East,Rain,Heavy,3618
2025-04-02,South East,Rain,Heavy,1440
2025-04-03,South East,Fog,Heavy,1006
2025-04-04,South East,Clear,Gridlock,10000
2025-04-05,South East,Clear,Light,10000
2025-04-06,South East,Clear,Moderate,10000
2025-04-07,South East,Clear,Moderate,10000
2025-04-08,South East,Clear,Moderate,10000
2025-04-09,South East,Rain,Heavy,325
2025-04-10,South East,Storm,Gridlock,175
2025-04-11,South East,Storm,Heavy,1258
2025-04-12,South East,Rain,Light,3299
2025-04-13,South East,Clear,Moderate,10000
2025-04-14,South East,Clear,Moderate,10000
2025-04-15,South East,Clear,Gridlock,10000
2025-04-16,South East,Rain,Moderate,1414
2025-04-17,South East,Clear,Heavy,10000
2025-04-18,South East,Rain,Gridlock,4231
2025-04-19,South East,Clear,Moderate,10000
2025-04-20,South East,Storm,Light,3535
2025-04-21,South East,Rain,Heavy,3769
2025-04-22,South East,Fog,Heavy,1036
2025-04-23,South East,Storm,Heavy,3122
2025-04-24,South East,Clear,Heavy,10000
2025-04-25,South East,Clear,Heavy,10000
2025-04-26,South East,Clear,Moderate,10000
2025-04-27,South East,Storm,Light,3282
2025-04-28,South East,Rain,Gridlock,2682
2025-04-29,South East,Clear,Heavy,10000
2025-04-30,South East,Clear,Heavy,10000
2025-05-01,South East,Rain,Gridlock,4164
2025-05-02,South East,Fog,Heavy,1050
2025-05-03,South East,Clear,Moderate,10000
2025-05-04,South East,Clear,Light,10000
2025-05-05,South East,Rain,Heavy,3197
2025-05-06,South East,Rain,Heavy,4036
2025-05-07,South East,Clear,Heavy,10000
2025-05-08,South East,Clear,Heavy,10000
2025-05-09,South East,Clear,Moderate,10000
2025-05-10,South East,Rain,Moderate,2939
2025-05-11,South East,Rain,Moderate,3915
2025-05-12,South East,Storm,Gridlock,1997
2025-05-13,South East,Clear,Heavy,10000
2025-05-14,South East,Clear,Heavy,10000
2025-05-15,South East,Rain,Heavy,2880
2025-05-16,South East,Clear,Heavy,10000
2025-05-17,South East,Rain,Moderate,1054
2025-05-18,South East,Fog,Light,4481
2025-05-19,South East,Rain,Gridlock,764
2025-05-20,South East,Clear,Moderate,10000
2025-05-21,South East,Rain,Moderate,1013
2025-05-22,South East,Clear,Heavy,10000
2025-05-23,South East,Clear,Gridlock,10000
2025-05-24,South East,Rain,Light,1731
2025-05-25,South East,Clear,Heavy,10000
2025-05-26,South East,Fog,Heavy,1336
2025-05-27,South East,Rain,Moderate,3704
2025-05-28,South East,Clear,Heavy,10000
2025-05-29,South East,Clear,Gridlock,10000
2025-05-30,South East,Rain,Moderate,1895
2025-05-31,South East,Rain,Light,2988
2025-06-01,South East,Clear,Moderate,10000
2025-06-02,South East,Clear,Heavy,10000
2025-06-03,South East,Rain,Heavy,2475
2025-06-04,South East,Clear,Gridlock,10000
2025-06-05,South East,Rain,Heavy,1366
2025-06-06,South East,Clear,Heavy,10000
2025-06-07,South East,Rain,Moderate,195
2025-06-08,South East,Rain,Light,1512
2025-06-09,South East,Clear,Moderate,10000
2025-06-10,South East,Rain,Gridlock,680
2025-06-11,South East,Clear,Moderate,10000
2025-06-12,South East,Clear,Heavy,10000
2025-06-13,South East,Clear,Heavy,10000
2025-06-14,South East,Clear,Moderate,10000
2025-06-15,South East,Clear,Light,10000
2025-06-16,South East,Clear,Heavy,10000
2025-06-17,South East,Clear,Heavy,10000
2025-06-18,South East,Clear,Heavy,10000
2025-06-19,South East,Clear,Heavy,10000
2025-06-20,South East,Rain,Heavy,1175
2025-06-21,South East,Clear,Light,10000
2025-06-22,South East,Clear,Light,10000
2025-06-23,South East,Rain,Moderate,1964
2025-06-24,South East,Clear,Heavy,10000
2025-06-25,South East,Clear,Gridlock,10000
2025-06-26,South East,Clear,Moderate,10000
2025-06-27,South East,Clear,Heavy,10000
2025-06-28,South East,Clear,Moderate,10000
2025-06-29,South East,Clear,Light,10000
2025-06-30,South East,Clear,Moderate,10000
2025-07-01,South East,Clear,Heavy,10000
2025-07-02,South East,Storm,Heavy,4261
2025-07-03,South East,Clear,Heavy,10000
2025-07-04,South East,Storm,Moderate,2384
2025-07-05,South East,Rain,Light,2715
2025-07-06,South East,Clear,Light,10000
2025-07-07,South East,Rain,Heavy,1981
2025-07-08,South East,Storm,Heavy,286
2025-07-09,South East,Clear,Gridlock,10000
2025-07-10,South East,Clear,Heavy,10000
2025-07-11,South East,Rain,Heavy,335
2025-07-12,South East,Clear,Moderate,10000
2025-07-13,South East,Clear,Moderate,10000
2025-07-14,South East,Clear,Gridlock,10000
2025-07-15,South East,Rain,Heavy,3775
2025-07-16,South East,Clear,Heavy,10000
2025-07-17,South East,Clear,Heavy,10000
2025-07-18,South East,Clear,Heavy,10000
2025-07-19,South East,Clear,Moderate,10000
2025-07-20,South East,Clear,Heavy,10000
2025-07-21,South East,Rain,Moderate,455
2025-07-22,South East,Clear,Gridlock,10000
2025-07-23,South East,Rain,Heavy,610
2025-07-24,South East,Clear,Gridlock,10000
2025-07-25,South East,Clear,Gridlock,10000
2025-07-26,South East,Rain,Moderate,3969
2025-07-27,South East,Clear,Moderate,10000
2025-07-28,South East,Clear,Moderate,10000
2025-07-29,South East,Clear,Heavy,10000
2025-07-30,South East,Storm,Heavy,4411
2025-07-31,South East,Rain,Moderate,4309
2025-08-01,South East,Clear,Moderate,10000
2025-08-02,South East,Rain,Moderate,2996
2025-08-03,South East,Storm,Moderate,2579
2025-08-04,South East,Clear,Moderate,10000
2025-08-05,South East,Clear,Gridlock,10000
2025-08-06,South East,Clear,Gridlock,10000
2025-08-07,South East,Clear,Heavy,10000
2025-08-08,South East,Clear,Heavy,10000
2025-08-09,South East,Clear,Moderate,10000
2025-08-10,South East,Clear,Moderate,10000
2025-08-11,South East,Clear,Moderate,10000
2025-08-12,South East,Clear,Heavy,10000
2025-08-13,South East,Clear,Moderate,10000
2025-08-14,South East,Storm,Moderate,506
2025-08-15,South East,Clear,Moderate,10000
2025-08-16,South East,Clear,Moderate,10000
2025-08-17,South East,Clear,Light,10000
2025-08-18,South East,Clear,Heavy,10000
2025-08-19,South East,Clear,Heavy,10000
2025-08-20,South East,Clear,Heavy,10000
2025-08-21,South East,Clear,Heavy,10000
2025-08-22,South East,Rain,Heavy,1558
2025-08-23,South East,Rain,Light,2094
2025-08-24,South East,Clear,Moderate,10000
2025-08-25,South East,Clear,Moderate,10000
2025-08-26,South East,Clear,Gridlock,10000
2025-08-27,South East,Clear,Moderate,10000
2025-08-28,South East,Clear,Heavy,10000
2025-08-29,South East,Clear,Heavy,10000
2025-08-30,South East,Clear,Moderate,10000
2025-08-31,South East,Clear,Moderate,10000
2025-09-01,South East,Rain,Moderate,4318
2025-09-02,South East,Clear,Heavy,10000
2025-09-03,South East,Clear,Heavy,10000
2025-09-04,South East,Rain,Heavy,4774
2025-09-05,South East,Rain,Moderate,4769
2025-09-06,South East,Rain,Light,3854
2025-09-07,South East,Clear,Light,10000
2025-09-08,South East,Rain,Gridlock,4250
2025-09-09,South East,Clear,Heavy,10000
2025-09-10,South East,Storm,Gridlock,3681
2025-09-11,South East,Clear,Gridlock,10000
2025-09-12,South East,Clear,Gridlock,10000
2025-09-13,South East,Rain,Moderate,2899
2025-09-14,South East,Clear,Light,10000
2025-09-15,South East,Clear,Gridlock,10000
2025-09-16,South East,Rain,Gridlock,2198
2025-09-17,South East,Clear,Moderate,10000
2025-09-18,South East,Rain,Heavy,3556
2025-09-19,South East,Clear,Moderate,10000
2025-09-20,South East,Storm,Moderate,3947
2025-09-21,South East,Rain,Heavy,4581
2025-09-22,South East,Rain,Heavy,612
2025-09-23,South East,Clear,Moderate,10000
2025-09-24,South East,Rain,Heavy,1623
2025-09-25,South East,Clear,Heavy,10000
2025-09-26,South East,Fog,Heavy,409
2025-09-27,South East,Rain,Light,3043
2025-09-28,South East,Clear,Light,10000
2025-09-29,South East,Clear,Moderate,10000
2025-09-30,South East,Storm,Heavy,419
2025-10-01,South East,Clear,Moderate,10000
2025-10-02,South East,Rain,Moderate,830
2025-10-03,South East,Rain,Heavy,1361
2025-10-04,South East,Rain,Light,571
2025-10-05,South East,Clear,Heavy,10000
2025-10-06,South East,Clear,Heavy,10000
2025-10-07,South East,Rain,Heavy,3747
2025-10-08,South East,Storm,Heavy,3293
2025-10-09,South East,Clear,Gridlock,10000
2025-10-10,South East,Rain,Heavy,1617
2025-10-11,South East,Clear,Moderate,10000
2025-10-12,South East,Clear,Moderate,10000
2025-10-13,South East,Rain,Heavy,351
2025-10-14,South East,Rain,Heavy,1809
