user_id,brake_wear_pct,tyre_tread_mm,battery_soh_pct,oil_quality_pct,last_service_date
USR_00070,23.1,2.66,90.6,38.2,2024-12-08
USR_00071,17.8,5.24,93.8,39.1,2024-01-31
USR_00072,16.5,2.94,91.9,27.8,2024-06-09
USR_00073,47.6,5.72,90.2,68.3,2024-01-22
USR_00074,31.0,3.08,81.6,80.0,2024-03-05
USR_00075,37.2,3.95,74.9,78.6,2025-04-28
USR_00076,30.1,5.59,88.6,26.4,2025-01-27
USR_00077,9.4,5.64,92.8,19.9,2025-09-02
USR_00078,57.9,4.6,79.2,88.4,2024-10-28
USR_00079,53.7,3.52,86.6,47.6,2024-12-10
USR_00080,12.4,3.4,85.0,44.2,2024-01-23
USR_00081,52.0,3.65,91.7,19.5,2024-04-10
USR_00082,53.9,2.83,90.3,81.1,2025-07-12
USR_00083,56.2,7.17,91.6,42.2,2025-04-19
USR_00084,39.0,4.63,99.7,78.2,2025-11-10
USR_00085,71.1,1.43,87.2,49.9,2025-05-16
USR_00086,31.2,2.78,100.0,47.1,2024-10-12
USR_00087,19.2,2.6,89.4,81.0,2024-09-12
USR_00088,26.4,3.99,82.5,87.3,2025-08-14
USR_00089,29.1,4.53,94.3,98.5,2024-11-24
USR_00090,51.4,2.1,93.7,43.2,2024-03-20
USR_00091,43.9,6.24,76.7,34.2,2025-02-27
USR_00092,59.5,2.26,84.7,48.9,2025-02-19
USR_00093,32.7,6.91,88.7,67.3,2024-02-24
USR_00094,52.0,4.54,81.9,84.0,2024-08-12
USR_00095,55.3,2.84,81.3,73.4,2025-07-05
USR_00096,15.1,2.21,83.9,33.7,2024-11-06
USR_00097,41.0,3.81,89.6,83.4,2024-01-21
USR_00098,37.7,2.56,97.0,55.4,2025-04-09
USR_00099,23.7,5.26,67.4,35.4,2025-04-13
USR_00100,41.4,7.1,71.4,14.2,2025-08-10
USR_00101,22.9,7.06,79.5,56.1,2025-05-12
USR_00102,49.6,0.5,95.1,51.5,2025-10-01
USR_00103,31.6,5.86,68.6,18.2,2025-08-17
USR_00104,54.4,3.97,77.6,38.9,2025-02-25
USR_00105,26.7,4.19,79.9,22.5,2024-03-19
USR_00106,62.7,6.67,77.0,35.5,2025-08-19
USR_00107,28.0,4.36,72.9,59.6,2025-06-25
USR_00108,19.9,5.63,96.1,44.1,2025-05-25
USR_00109,67.5,5.86,85.3,69.2,2025-02-13
USR_00110,44.6,3.75,100.0,59.1,2024-12-13
USR_00111,21.7,4.31,94.3,71.8,2024-04-09
USR_00112,89.4,0.5,80.0,95.9,2024-10-24
USR_00113,41.6,4.37,91.5,28.5,2024-12-04
USR_00114,90.9,4.23,100.0,48.5,2025-02-07
USR_00115,53.7,3.95,98.1,84.0,2024-01-30
USR_00116,20.6,5.29,74.1,41.1,2025-04-02
USR_00117,49.7,4.43,75.0,24.3,2024-01-22
USR_00118,54.4,3.59,99.0,18.5,2025-06-04
USR_00119,52.8,3.86,85.7,69.8,2025-05-30
USR_00120,25.4,1.39,83.6,84.1,2024-09-02
USR_00121,34.3,1.87,88.2,99.8,2024-12-17
USR_00122,29.6,4.23,65.0,40.3,2025-09-16
USR_00123,35.1,3.24,93.1,61.3,2025-02-15
USR_00124,42.7,4.35,85.8,55.6,2025-02-20
USR_00125,60.8,3.1,87.4,30.5,2025-01-01
USR_00126,11.6,5.15,91.6,73.0,2024-08-22
USR_00127,25.2,4.32,70.4,99.7,2024-01-18
USR_00128,45.4,3.15,87.3,76.4,2025-10-27
USR_00129,41.3,3.59,81.0,49.5,2025-09-07
USR_00130,24.6,3.49,95.3,69.7,2024-05-01
USR_00131,45.1,5.31,90.1,21.6,2025-08-31
USR_00132,21.3,5.88,90.4,56.8,2024-10-09
USR_00133,32.3,3.38,93.2,85.0,2025-07-31
USR_00134,28.5,3.67,100.0,23.6,2024-08-21
USR_00135,51.8,1.95,91.3,15.2,2024-10-03
USR_00136,13.1,3.86,96.3,51.8,2024-08-03
USR_00137,38.7,2.34,82.9,20.5,2024-09-30
USR_00138,20.3,6.26,88.1,33.5,2025-11-26
USR_00139,41.0,3.83,92.1,97.0,2025-07-06
USR_00140,28.5,4.3,92.6,25.2,2024-06-22
USR_00141,57.3,4.82,93.8,31.0,2025-10-19
USR_00142,62.9,3.24,71.9,85.4,2024-08-17
USR_00143,63.3,2.15,81.0,52.4,2024-09-21
USR_00144,19.3,5.86,79.4,41.0,2024-04-13
USR_00145,50.1,4.65,80.7,89.3,2024-07-28
USR_00146,81.7,2.43,73.2,86.1,2025-03-27
USR_00147,33.7,6.09,81.5,73.3,2025-04-17
USR_00148,46.8,3.74,81.0,72.7,2024-07-29
USR_00149,42.7,2.18,92.5,91.8,2025-09-08
USR_00150,18.7,4.51,95.2,95.7,2024-02-02
USR_00151,33.4,3.73,73.7,61.9,2024-12-01
USR_00152,47.8,5.39,99.5,25.9,2025-01-22
USR_00153,68.5,1.69,78.4,85.2,2025-05-16
USR_00154,23.1,4.75,78.1,14.2,2024-11-05
USR_00155,55.9,1.9,77.6,20.6,2025-03-27
USR_00156,9.3,4.78,100.0,24.9,2024-06-29
USR_00157,22.6,2.89,100.0,26.7,2025-02-16
USR_00158,30.8,3.41,88.0,11.5,2024-02-06
USR_00159,36.7,2.56,92.7,42.0,2024-12-30
USR_00160,11.6,3.6,100.0,52.1,2025-06-24
USR_00161,80.8,2.05,97.2,45.2,2025-04-01
USR_00162,46.5,3.97,95.3,87.1,2025-11-11
USR_00163,38.1,2.83,78.3,86.5,2024-02-18
USR_00164,26.3,3.7,92.2,71.9,2024-07-10
USR_00165,59.9,6.74,84.3,76.2,2025-07-07
USR_00166,47.1,2.63,100.0,68.9,2025-07-19
USR_00167,13.3,3.36,82.5,31.4,2025-02-12
USR_00168,25.8,4.2,63.0,47.3,2025-06-10
USR_00169,94.3,1.98,80.1,91.2,2024-02-09
USR_00170,36.5,2.69,84.5,18.1,2025-09-08
USR_00171,37.3,3.26,100.0,62.1,2024-10-27
USR_00172,69.6,4.4,100.0,46.0,2025-01-07
USR_00173,34.3,4.34,81.8,32.3,2025-05-03
USR_00174,65.9,1.71,100.0,85.9,2024-05-22
USR_00175,21.5,4.03,100.0,22.7,2024-06-25
USR_00176,45.9,3.69,69.7,60.2,2024-07-14
USR_00177,39.7,2.53,82.1,47.0,2024-05-31
USR_00178,10.4,0.89,81.8,42.3,2025-08-04
USR_00179,28.5,1.93,97.7,76.1,2025-10-15
USR_00180,58.3,5.88,89.4,88.4,2024-08-27
USR_00181,60.2,2.89,88.1,77.1,2025-02-20
USR_00182,35.8,2.79,88.1,87.9,2025-12-03
USR_00183,46.2,4.37,58.6,78.9,2025-02-09
USR_00184,28.3,3.56,84.1,45.4,2024-03-18
USR_00185,39.9,6.89,74.7,37.1,2024-05-24
USR_00186,28.2,3.03,78.5,96.6,2024-06-13
USR_00187,20.6,4.7,74.4,60.8,2025-10-31
USR_00188,38.3,5.59,82.3,72.8,2025-05-21
USR_00189,39.6,3.21,99.2,51.0,2024-11-30
USR_00190,78.9,2.79,98.4,46.6,2024-12-06
USR_00191,46.3,3.88,65.7,17.6,2025-03-15
USR_00192,32.6,3.89,90.7,21.6,2024-05-21
USR_00193,57.3,5.44,69.9,73.3,2025-03-20
USR_00194,33.0,3.28,77.1,71.0,2025-06-25
USR_00195,57.6,2.35,100.0,57.1,2024-01-19
USR_00196,28.2,4.27,95.3,47.9,2024-07-06
USR_00197,55.5,0.5,88.8,73.1,2025-11-24
USR_00198,32.7,5.34,81.2,75.6,2025-03-14
USR_00199,26.0,2.53,96.7,71.0,2025-05-01
USR_00200,24.3,3.88,80.0,27.2,2025-04-23
USR_00201,74.5,4.61,89.0,53.7,2025-07-28
USR_00202,37.4,2.93,99.6,52.6,2025-07-06
USR_00203,27.0,4.66,93.1,36.8,2024-08-28
USR_00204,45.0,6.9,78.7,74.1,2024-05-12
USR_00205,21.7,2.77,90.2,47.3,2025-09-28
USR_00206,71.0,2.68,65.6,68.4,2025-02-23
USR_00207,41.0,1.74,82.2,53.7,2025-08-01
USR_00208,27.9,4.54,74.1,86.9,2024-06-01
USR_00209,49.2,4.82,76.2,12.5,2025-03-09
USR_00210,42.4,2.23,81.0,94.0,2025-01-16
USR_00211,35.4,2.37,100.0,14.6,2025-05-20
USR_00212,28.0,3.24,85.4,27.9,2024-06-16
USR_00213,45.6,4.29,86.0,47.8,2024-09-15
USR_00214,73.3,3.51,87.4,45.7,2024-05-25
USR_00215,16.4,6.71,100.0,86.1,2025-03-13
USR_00216,19.1,2.83,88.8,52.5,2024-04-14
USR_00217,66.5,0.77,100.0,24.6,2024-07-22
USR_00218,16.0,4.46,77.9,37.5,2024-02-04
USR_00219,35.0,3.27,93.6,93.9,2024-03-19
USR_00220,36.3,4.56,85.5,38.0,2025-04-28
USR_00221,21.7,0.5,86.3,57.5,2024-12-11
USR_00222,42.5,0.94,100.0,43.1,2025-09-22
USR_00223,40.5,3.19,77.8,75.8,2024-10-05
USR_00224,59.9,2.34,96.9,29.7,2025-12-07
USR_00225,28.2,4.57,90.1,19.0,2025-04-22
USR_00226,40.7,3.05,92.1,85.2,2024-12-02
USR_00227,24.7,3.96,91.0,48.1,2024-08-18
USR_00228,48.8,2.97,75.4,31.2,2024-05-07
USR_00229,43.7,4.41,79.1,45.4,2024-12-02
USR_00230,67.0,5.1,78.9,48.3,2024-10-19
USR_00231,16.5,3.52,91.8,86.0,2025-03-03
USR_00232,65.1,3.85,80.1,38.3,2025-08-18
USR_00233,24.7,4.97,92.3,11.0,2024-08-05
USR_00234,65.5,4.16,85.4,24.9,2024-05-17
USR_00235,20.8,6.61,78.2,32.1,2024-07-23
USR_00236,25.6,2.84,90.6,97.4,2025-08-22
USR_00237,72.1,4.05,78.5,93.6,2025-09-29
USR_00238,13.1,4.65,87.5,67.6,2025-04-25
USR_00239,58.3,4.27,94.7,77.3,2025-05-24
USR_00240,17.6,3.46,80.9,36.4,2024-03-21
USR_00241,41.9,2.92,94.4,28.2,2024-06-12
USR_00242,62.2,5.44,69.9,15.6,2025-11-29
USR_00243,42.8,3.24,82.9,11.9,2024-03-13
USR_00244,48.9,2.3,85.2,23.6,2024-09-14
USR_00245,46.9,3.8,84.5,85.2,2024-03-23
USR_00246,62.9,2.66,82.5,99.5,2025-09-11
USR_00247,44.7,3.49,90.8,26.5,2025-02-26
USR_00248,31.8,3.87,93.6,51.2,2025-09-29
USR_00249,11.2,3.39,93.3,45.5,2025-09-01
USR_00250,17.8,0.93,76.1,30.3,2024-12-30
USR_00251,42.0,3.25,81.9,79.8,2025-05-13
USR_00252,18.4,3.25,100.0,23.6,2024-10-30
USR_00253,34.0,4.81,92.7,80.7,2024-08-09
USR_00254,36.4,2.61,75.4,96.8,2024-01-17
USR_00255,14.8,4.57,63.1,10.7,2025-02-24
USR_00256,60.3,4.83,80.7,45.2,2024-12-16
USR_00257,27.6,3.85,99.2,75.0,2024-10-01
USR_00258,72.9,1.61,83.7,28.1,2024-11-10
USR_00259,43.2,3.36,79.9,26.3,2025-06-22
USR_00260,35.8,4.93,71.1,46.2,2024-12-17
USR_00261,38.1,5.52,87.5,90.6,2024-10-27
USR_00262,14.7,1.91,77.1,88.3,2024-06-10
USR_00263,62.7,3.67,93.8,12.0,2025-01-30
USR_00264,32.8,2.56,87.4,11.1,2025-09-01
USR_00265,25.9,3.25,68.9,58.3,2024-11-29
USR_00266,59.0,3.9,92.7,26.3,2025-07-10
USR_00267,31.7,6.31,76.0,47.6,2025-07-10
USR_00268,60.8,3.72,67.4,89.5,2024-07-17
USR_00269,7.6,6.23,88.6,31.2,2024-01-21
USR_00270,44.8,4.53,95.7,30.1,2024-02-07
USR_00271,69.0,5.33,76.9,67.0,2024-04-30
USR_00272,52.2,2.16,91.6,63.1,2024-12-17
USR_00273,23.9,5.76,88.6,84.4,2024-04-29
USR_00274,47.2,4.35,87.2,84.0,2024-07-28
USR_00275,54.4,3.76,81.7,98.7,2025-06-17
USR_00276,39.2,3.96,76.0,72.3,2025-04-18
USR_00277,30.7,1.64,97.2,72.8,2025-11-18
USR_00278,28.3,7.09,92.7,83.5,2025-08-20
USR_00279,31.5,4.65,93.3,85.8,2025-07-31
USR_00280,100.0,1.09,86.9,31.9,2024-05-18
USR_00281,19.0,5.5,100.0,39.7,2024-10-09
USR_00282,35.4,3.44,82.4,12.6,2025-09-08
USR_00283,32.0,2.07,86.5,83.7,2024-10-04
USR_00284,91.9,2.87,90.2,11.4,2024-02-26
USR_00285,28.5,4.12,82.6,87.6,2024-05-01
USR_00286,15.2,5.04,77.9,63.9,2025-05-17
USR_00287,50.5,3.41,88.8,69.3,2025-09-29
USR_00288,34.4,1.47,70.4,73.9,2025-07-16
USR_00289,28.6,2.96,88.2,13.0,2024-05-30
USR_00290,100.0,0.5,72.8,59.2,2024-07-15
USR_00291,52.2,2.93,94.2,82.4,2025-09-29
USR_00292,41.4,4.94,87.4,80.3,2024-02-27
USR_00293,28.4,4.75,100.0,44.2,2024-04-09
USR_00294,91.9,4.27,85.3,81.8,2025-10-15
USR_00295,27.9,1.63,80.6,30.2,2024-08-24
USR_00296,28.4,3.41,74.5,11.1,2025-10-06
USR_00297,24.5,4.6,86.1,68.9,2025-01-17
USR_00298,28.2,6.59,89.2,59.8,2025-10-15
USR_00299,64.8,6.49,85.1,83.8,2025-09-06
USR_00300,42.0,3.34,80.0,63.6,2025-02-18
USR_00301,44.2,4.29,85.0,84.9,2024-05-29
USR_00302,35.2,3.79,89.1,93.6,2024-11-26
USR_00303,65.8,1.21,89.1,86.7,2024-11-05
USR_00304,25.6,2.1,97.7,74.6,2024-04-27
USR_00305,65.2,3.68,89.7,22.7,2024-08-02
USR_00306,39.2,4.85,79.3,77.7,2024-04-07
USR_00307,71.9,7.36,64.2,82.9,2025-01-13
USR_00308,51.2,4.94,87.6,24.3,2024-05-26
USR_00309,35.2,1.54,92.0,70.5,2024-08-05
USR_00310,42.3,5.53,62.3,47.5,2024-08-20
USR_00311,37.2,0.79,91.3,44.4,2024-08-25
USR_00312,41.8,1.24,98.4,14.9,2024-01-20
USR_00313,39.9,2.54,100.0,53.1,2024-11-01
USR_00314,31.8,4.33,100.0,97.6,2024-08-21
USR_00315,31.9,3.36,80.2,51.9,2025-10-04
USR_00316,38.2,3.72,87.7,85.9,2025-05-18
USR_00317,51.7,3.39,69.1,24.9,2024-08-21
USR_00318,57.6,2.8,97.9,31.1,2024-07-06
USR_00319,24.1,5.36,98.4,63.7,2024-12-07
USR_00320,11.3,4.06,62.3,80.8,2024-02-01
USR_00321,24.7,4.13,83.7,67.5,2025-08-31
USR_00322,46.5,1.27,88.4,47.7,2025-01-23
USR_00323,15.8,2.96,99.1,76.5,2024-01-23
USR_00324,44.9,4.16,100.0,26.2,2024-02-02
USR_00325,32.2,5.97,68.3,83.0,2024-11-21
USR_00326,25.0,3.62,80.9,64.3,2024-08-24
USR_00327,48.4,1.87,75.8,97.3,2025-08-02
USR_00328,21.8,3.14,100.0,53.2,2025-12-12
USR_00329,7.2,2.56,96.1,32.0,2024-05-10
USR_00330,39.0,6.47,100.0,89.4,2025-09-19
USR_00331,64.9,7.41,89.5,100.0,2024-06-09
USR_00332,12.7,6.16,92.9,20.0,2024-06-24
USR_00333,36.8,3.09,89.7,33.5,2025-10-13
USR_00334,27.0,7.41,80.6,30.0,2025-10-17
USR_00335,27.4,4.94,96.1,87.8,2025-05-31
USR_00336,28.5,3.69,81.2,27.7,2024-02-17
USR_00337,53.9,2.47,82.8,13.5,2024-10-29
USR_00338,30.8,4.88,87.9,43.7,2024-08-19
USR_00339,71.4,5.76,88.9,79.4,2024-07-21
USR_00340,25.8,4.2,80.6,27.0,2025-05-12
USR_00341,49.4,4.81,83.7,85.6,2025-05-26
USR_00342,13.1,5.04,91.3,99.5,2025-09-26
USR_00343,53.8,0.86,78.4,49.8,2025-08-07
USR_00344,27.3,0.65,70.6,59.5,2024-10-20
USR_00345,22.3,5.29,85.7,63.3,2024-02-23
USR_00346,24.3,3.92,95.0,37.4,2024-03-02
USR_00347,8.8,4.69,84.7,78.1,2025-01-21
USR_00348,25.5,3.9,65.9,51.7,2025-02-20
USR_00349,29.1,6.54,75.3,28.0,2025-11-14
USR_00350,70.2,5.38,81.4,52.9,2025-04-23
USR_00351,23.7,4.51,89.4,19.6,2024-08-04
USR_00352,12.5,4.06,85.0,73.0,2024-12-30
USR_00353,9.6,4.38,95.1,59.2,2024-12-08
USR_00354,57.1,3.82,69.0,65.8,2025-05-12
USR_00355,25.4,3.93,100.0,51.3,2025-09-30
USR_00356,51.0,3.05,84.0,22.3,2024-07-02
USR_00357,98.2,1.81,90.9,29.0,2024-10-20
USR_00358,27.4,4.77,87.6,74.8,2024-07-29
USR_00359,18.8,4.24,81.2,59.7,2025-09-29
USR_00360,40.0,4.95,81.6,51.4,2024-11-11
USR_00361,26.3,6.69,93.7,61.9,2024-11-22
USR_00362,31.2,3.92,71.2,38.1,2025-10-16
USR_00363,64.9,2.96,100.0,18.0,2024-01-28
USR_00364,28.7,1.29,60.5,61.5,2025-07-10
USR_00365,34.0,4.14,75.8,59.8,2024-07-01
USR_00366,24.4,3.98,87.9,99.6,2024-09-26
USR_00367,42.3,4.43,78.7,99.1,2025-08-11
USR_00368,51.7,3.85,73.7,98.8,2025-03-18
USR_00369,39.3,1.6,98.0,39.5,2025-08-08
USR_00370,27.4,6.28,67.6,27.1,2024-02-11
USR_00371,36.2,5.74,87.5,38.5,2025-04-12
USR_00372,20.4,2.24,85.2,96.3,2025-06-07
USR_00373,21.3,4.79,87.6,34.7,2025-07-29
USR_00374,60.3,5.66,90.0,30.8,2025-03-27
USR_00375,42.3,5.11,81.9,16.3,2024-08-07
USR_00376,38.6,3.28,96.1,48.8,2025-07-23
USR_00377,20.9,4.94,87.1,49.0,2025-02-10
USR_00378,36.5,4.31,82.1,62.1,2025-10-11
USR_00379,21.0,6.06,77.4,49.4,2025-06-08
USR_00380,31.1,3.01,82.9,12.9,2025-03-10
USR_00381,31.7,3.78,76.5,70.8,2025-12-08
USR_00382,20.9,5.75,64.2,95.5,2024-11-24
USR_00383,23.2,5.11,87.7,94.9,2024-05-05
USR_00384,22.8,3.25,86.5,74.2,2024-06-21
USR_00385,45.6,4.31,100.0,61.6,2024-04-09
USR_00386,47.8,4.47,78.2,31.4,2024-10-06
USR_00387,36.7,2.31,100.0,34.3,2024-06-24
USR_00388,35.8,2.34,88.5,54.5,2025-09-29
USR_00389,47.3,2.78,95.0,20.7,2024-05-01
USR_00390,39.9,3.71,77.8,94.1,2024-05-03
USR_00391,21.1,2.78,89.0,51.0,2024-10-24
USR_00392,47.3,2.37,63.4,88.0,2025-08-08
USR_00393,88.5,0.89,77.9,95.0,2024-01-17
USR_00394,70.3,5.14,75.0,40.1,2025-03-07
USR_00395,51.1,4.74,83.5,71.1,2024-12-01
USR_00396,65.2,8.0,91.8,52.5,2024-09-19
USR_00397,54.0,1.81,83.6,67.3,2024-04-13
USR_00398,50.8,2.77,73.6,75.9,2025-10-17
USR_00399,36.4,3.34,93.6,42.5,2024-05-23
USR_00400,28.2,5.11,83.9,40.4,2024-12-30
USR_00401,20.0,3.53,100.0,88.3,2025-03-05
USR_00402,20.0,4.85,84.0,19.7,2024-03-11
USR_00403,26.8,5.64,78.1,60.5,2025-05-19
USR_00404,28.9,3.03,76.8,39.0,2024-03-27
USR_00405,31.0,1.69,89.8,88.1,2024-10-14
USR_00406,54.0,3.62,95.7,54.3,2024-03-23
USR_00407,46.6,3.64,95.5,67.2,2024-10-16
USR_00408,25.3,1.25,82.1,39.2,2024-02-16
USR_00409,21.2,3.02,88.8,29.9,2025-04-05
USR_00410,37.0,3.36,67.8,75.0,2025-06-30
USR_00411,28.0,3.19,90.6,79.0,2024-12-26
USR_00412,14.0,5.21,67.7,37.2,2024-09-16
USR_00413,55.9,3.01,90.5,86.5,2024-02-23
USR_00414,54.4,5.37,83.1,69.0,2024-10-14
USR_00415,22.2,2.41,76.5,92.5,2025-02-23
USR_00416,46.4,5.08,81.1,88.0,2025-08-08
USR_00417,60.7,5.8,99.1,42.8,2024-03-16
USR_00418,26.2,6.28,82.3,38.3,2024-06-25
USR_00419,58.5,5.14,73.1,48.1,2024-05-30
USR_00420,21.2,3.93,70.8,79.8,2025-07-16
USR_00421,38.2,0.85,94.1,61.4,2024-07-07
USR_00422,28.5,2.7,87.6,35.3,2024-12-03
USR_00423,34.8,1.97,75.6,19.9,2025-02-18
USR_00424,27.3,3.84,82.5,53.0,2025-03-24
USR_00425,17.7,2.28,97.5,96.6,2024-07-10
USR_00426,27.7,5.39,79.6,48.2,2024-06-08
USR_00427,48.8,2.17,67.8,57.2,2024-05-07
USR_00428,84.9,3.67,89.3,45.4,2024-03-03
USR_00429,13.0,4.6,87.0,99.7,2024-11-01
USR_00430,60.8,4.52,83.6,13.7,2025-06-03
USR_00431,89.1,0.5,82.0,21.1,2025-05-29
USR_00432,32.6,4.2,78.5,78.1,2024-05-13
USR_00433,33.5,4.51,69.2,20.3,2024-07-17
USR_00434,44.0,2.15,88.7,16.4,2025-07-08
USR_00435,10.2,4.78,70.8,15.2,2024-08-09
USR_00436,43.6,0.89,82.6,51.5,2025-01-10
USR_00437,15.4,2.56,88.6,77.5,2025-05-24
USR_00438,57.2,5.91,93.5,54.1,2025-04-27
USR_00439,50.1,5.64,85.9,61.4,2025-05-17
USR_00440,91.5,2.35,77.5,70.8,2024-08-31
USR_00441,64.3,2.09,79.0,77.8,2024-02-13
USR_00442,40.9,4.2,94.9,82.4,2024-04-02
USR_00443,28.6,3.32,74.0,80.9,2025-11-17
USR_00444,28.0,2.24,62.5,12.7,2025-08-24
USR_00445,69.3,7.81,92.4,85.7,2024-08-17
USR_00446,54.7,1.84,77.6,25.4,2024-05-23
USR_00447,25.0,2.3,76.1,20.9,2024-11-29
USR_00448,51.5,6.73,98.6,61.8,2024-09-29
USR_00449,44.5,3.61,88.7,96.9,2024-01-23
USR_00450,55.4,4.94,100.0,26.5,2025-04-26
USR_00451,33.5,3.58,90.8,59.3,2024-01-24
USR_00452,16.4,7.52,66.9,22.1,2025-05-08
USR_00453,40.5,5.8,80.4,50.2,2025-01-22
USR_00454,59.7,1.82,100.0,41.0,2024-09-11
USR_00455,39.7,3.55,88.2,94.1,2025-06-03
USR_00456,31.8,2.68,89.7,86.3,2024-04-16
USR_00457,35.8,2.8,77.0,51.1,2024-07-01
USR_00458,31.5,2.26,100.0,10.9,2024-03-12
USR_00459,22.0,5.23,87.7,72.9,2024-08-25
USR_00460,44.1,5.24,75.9,14.2,2025-12-07
USR_00461,90.1,0.92,79.1,25.6,2024-02-18
USR_00462,28.3,3.09,82.3,69.9,2025-01-31
USR_00463,20.9,5.48,88.8,88.4,2025-06-23
USR_00464,44.4,5.05,100.0,52.2,2024-02-10
USR_00465,100.0,0.6,96.9,87.8,2025-08-01
USR_00466,60.9,4.02,97.3,75.2,2025-01-17
USR_00467,19.6,4.48,99.6,93.0,2024-07-28
USR_00468,51.3,5.24,78.0,65.9,2024-03-22
USR_00469,47.8,4.85,74.3,61.7,2025-07-01
USR_00470,53.1,0.5,88.7,59.1,2025-06-11
USR_00471,55.7,5.5,87.7,84.6,2025-11-14
USR_00472,58.5,2.05,77.0,73.7,2025-06-24
USR_00473,46.6,0.51,53.9,77.4,2025-08-26
USR_00474,23.2,4.37,99.7,23.0,2025-05-08
USR_00475,28.5,4.16,66.3,88.7,2025-08-27
USR_00476,24.8,3.78,96.0,30.5,2024-04-18
USR_00477,25.5,4.67,77.7,76.1,2025-12-13
USR_00478,40.0,4.44,81.0,72.5,2024-09-16
USR_00479,35.8,2.43,83.5,92.0,2025-11-14
