user_id,avg_rpm,smoothness_score,idling_pct,carbon_credits_balance
USR_00121,2445,0.7,0.102,8
USR_00122,2232,0.83,0.409,76
USR_00123,2560,0.69,0.053,101
USR_00124,2397,0.69,0.14,63
USR_00125,2687,0.52,0.034,52
USR_00126,2330,0.41,0.22,23
USR_00127,2587,0.5,0.045,10
USR_00128,2301,0.79,0.16,31
USR_00129,2298,0.84,0.143,194
USR_00130,2236,0.6,0.109,117
USR_00131,2239,0.79,0.075,167
USR_00132,2570,0.68,0.16,78
USR_00133,2548,0.62,0.172,35
USR_00134,2980,0.35,0.262,27
USR_00135,2258,0.74,0.092,12
USR_00136,2822,0.59,0.239,47
USR_00137,2431,0.68,0.013,82
USR_00138,2616,0.63,0.07,139
USR_00139,2395,0.56,0.152,19
USR_00140,2621,0.7,0.5,1
USR_00141,2310,0.83,0.079,3
USR_00142,2279,0.79,0.062,89
USR_00143,2502,0.67,0.022,57
USR_00144,2092,0.89,0.064,62
USR_00145,2481,0.82,0.149,7
USR_00146,2127,0.59,0.211,125
USR_00147,2042,0.88,0.053,36
USR_00148,2924,0.59,0.028,241
USR_00149,2278,0.67,0.161,7
USR_00150,3404,0.25,0.382,173
USR_00151,1853,0.73,0.172,31
USR_00152,2244,0.67,0.415,36
USR_00153,2700,0.51,0.049,117
USR_00154,3035,0.35,0.067,38
USR_00155,2487,0.73,0.015,40
USR_00156,2342,0.77,0.126,8
USR_00157,2433,0.44,0.374,154
USR_00158,2679,0.55,0.062,20
USR_00159,2305,0.65,0.171,89
USR_00160,2860,0.42,0.149,279
USR_00161,2197,0.77,0.218,7
USR_00162,2874,0.51,0.248,91
USR_00163,2617,0.61,0.191,7
USR_00164,2222,0.64,0.133,0
USR_00165,2595,0.84,0.205,109
USR_00166,3077,0.43,0.082,30
USR_00167,2609,0.42,0.353,39
USR_00168,2730,0.74,0.129,5
USR_00169,1836,0.83,0.175,17
USR_00170,2669,0.54,0.202,0
USR_00171,2304,0.77,0.141,53
USR_00172,2024,0.78,0.154,3
USR_00173,2737,0.47,0.121,54
USR_00174,2256,0.82,0.437,49
USR_00175,2583,0.66,0.197,162
USR_00176,2913,0.69,0.211,22
USR_00177,2495,0.52,0.399,115
USR_00178,2609,0.61,0.093,29
USR_00179,2050,0.8,0.329,16
USR_00180,2709,0.48,0.142,104
USR_00181,2210,0.8,0.298,150
USR_00182,2172,0.69,0.191,40
USR_00183,2589,0.69,0.141,41
USR_00184,2323,0.68,0.16,30
USR_00185,2410,0.76,0.261,16
USR_00186,2404,0.52,0.132,101
USR_00187,2342,0.68,0.262,104
USR_00188,2552,0.7,0.078,23
USR_00189,2144,0.74,0.184,10
USR_00190,2398,0.72,0.207,6
USR_00191,2425,0.68,0.23,56
USR_00192,2717,0.54,0.047,4
USR_00193,2227,0.63,0.105,25
USR_00194,2654,0.69,0.089,14
USR_00195,2873,0.72,0.098,85
USR_00196,2427,0.71,0.097,122
USR_00197,2028,0.86,0.242,57
USR_00198,2344,0.68,0.225,38
USR_00199,3022,0.35,0.078,79
USR_00200,2408,0.73,0.317,72
USR_00201,2192,0.74,0.086,11
USR_00202,2628,0.75,0.194,19
USR_00203,2227,0.83,0.088,52
USR_00204,2430,0.67,0.111,20
USR_00205,2690,0.61,0.118,42
USR_00206,1989,0.86,0.103,99
USR_00207,2503,0.67,0.19,14
USR_00208,2746,0.52,0.067,17
USR_00209,2328,0.7,0.068,76
USR_00210,2735,0.49,0.206,17
USR_00211,2831,0.56,0.15,1
USR_00212,2492,0.61,0.241,25
USR_00213,2231,0.65,0.054,82
USR_00214,2222,0.71,0.122,17
USR_00215,2647,0.63,0.038,4
USR_00216,2604,0.55,0.101,17
USR_00217,2708,0.63,0.133,21
USR_00218,2788,0.63,0.091,0
USR_00219,3253,0.32,0.087,30
USR_00220,3074,0.44,0.108,46
USR_00221,2500,0.7,0.126,38
USR_00222,2668,0.74,0.149,4
USR_00223,1970,0.76,0.078,44
USR_00224,2176,0.76,0.019,62
USR_00225,2356,0.72,0.132,84
USR_00226,2317,0.75,0.139,63
USR_00227,2592,0.48,0.175,163
USR_00228,2378,0.71,0.042,158
USR_00229,2996,0.4,0.067,43
USR_00230,2778,0.59,0.274,0
USR_00231,2419,0.76,0.107,161
USR_00232,2261,0.73,0.137,32
USR_00233,2711,0.67,0.133,165
USR_00234,2376,0.61,0.08,25
USR_00235,2518,0.52,0.14,30
USR_00236,2190,0.76,0.056,24
USR_00237,2323,0.76,0.342,17
USR_00238,2388,0.5,0.136,208
USR_00239,2497,0.64,0.26,25
USR_00240,2218,0.75,0.038,1
USR_00241,2396,0.56,0.126,19
USR_00242,2606,0.69,0.144,29
USR_00243,2528,0.71,0.155,104
USR_00244,2093,0.75,0.105,6
USR_00245,2023,0.79,0.104,7
USR_00246,2385,0.73,0.078,4
USR_00247,2485,0.76,0.169,30
USR_00248,2935,0.54,0.07,44
USR_00249,2829,0.57,0.23,36
USR_00250,2362,0.86,0.248,28
USR_00251,2688,0.58,0.186,55
USR_00252,2783,0.53,0.265,29
USR_00253,2497,0.65,0.354,91
USR_00254,2288,0.85,0.178,38
USR_00255,2211,0.87,0.072,56
USR_00256,1966,0.86,0.453,140
USR_00257,2446,0.78,0.066,2
USR_00258,2213,0.91,0.405,19
USR_00259,2992,0.52,0.38,30
USR_00260,2442,0.5,0.288,22
USR_00261,2258,0.73,0.08,0
USR_00262,2568,0.73,0.155,10
USR_00263,2310,0.7,0.112,23
USR_00264,1805,0.86,0.059,15
USR_00265,1968,0.8,0.146,4
USR_00266,2185,0.56,0.21,4
USR_00267,2708,0.59,0.025,39
USR_00268,2627,0.79,0.22,49
USR_00269,2278,0.76,0.352,82
USR_00270,2320,0.66,0.125,70
USR_00271,2554,0.73,0.218,22
USR_00272,2319,0.73,0.295,2
USR_00273,2163,0.71,0.037,71
USR_00274,2206,0.87,0.036,79
USR_00275,2572,0.45,0.175,21
USR_00276,2380,0.72,0.232,25
USR_00277,2205,0.85,0.21,68
USR_00278,2372,0.78,0.121,30
USR_00279,2743,0.51,0.116,13
USR_00280,2162,0.8,0.194,4
USR_00281,2531,0.56,0.025,71
USR_00282,2678,0.42,0.239,13
USR_00283,2974,0.37,0.096,49
USR_00284,2458,0.77,0.196,10
USR_00285,2596,0.63,0.073,4
USR_00286,2987,0.5,0.175,37
USR_00287,2752,0.5,0.078,40
USR_00288,2156,0.76,0.073,13
USR_00289,2533,0.79,0.046,12
USR_00290,2049,0.71,0.19,65
USR_00291,2507,0.69,0.053,4
USR_00292,2742,0.57,0.037,205
USR_00293,2825,0.53,0.146,11
USR_00294,2844,0.62,0.09,41
USR_00295,2588,0.66,0.334,18
USR_00296,2019,0.71,0.094,135
USR_00297,2284,0.76,0.112,24
USR_00298,2290,0.66,0.124,16
USR_00299,2104,0.66,0.152,40
USR_00300,2177,0.83,0.143,47
USR_00301,2779,0.68,0.331,100
USR_00302,2759,0.44,0.255,6
USR_00303,2437,0.67,0.176,6
USR_00304,2870,0.51,0.175,39
USR_00305,2345,0.86,0.229,13
USR_00306,2392,0.87,0.253,69
USR_00307,2469,0.62,0.203,81
USR_00308,2648,0.58,0.183,30
USR_00309,1851,0.88,0.337,27
USR_00310,2744,0.41,0.097,22
USR_00311,2753,0.45,0.091,27
USR_00312,2265,0.74,0.355,22
USR_00313,2717,0.57,0.241,2
USR_00314,2313,0.66,0.233,20
USR_00315,2567,0.61,0.185,104
USR_00316,2277,0.73,0.041,139
USR_00317,2713,0.46,0.059,47
USR_00318,3000,0.46,0.343,43
USR_00319,3237,0.33,0.131,12
USR_00320,2710,0.69,0.042,229
USR_00321,2915,0.61,0.095,47
USR_00322,2316,0.82,0.079,28
USR_00323,2573,0.69,0.051,135
USR_00324,2970,0.59,0.152,9
USR_00325,2241,0.91,0.265,45
USR_00326,2645,0.73,0.317,1
USR_00327,2491,0.78,0.219,19
USR_00328,3662,0.19,0.218,8
USR_00329,2429,0.78,0.098,133
USR_00330,2426,0.68,0.072,3
USR_00331,2438,0.7,0.113,65
USR_00332,2964,0.43,0.279,17
USR_00333,2501,0.56,0.012,26
USR_00334,2648,0.47,0.101,6
USR_00335,2025,0.88,0.122,62
USR_00336,2521,0.67,0.137,40
USR_00337,2101,0.72,0.201,13
USR_00338,2431,0.77,0.16,34
USR_00339,2557,0.54,0.029,154
USR_00340,2056,0.89,0.273,185
USR_00341,2725,0.51,0.113,118
USR_00342,2282,0.74,0.317,8
USR_00343,2732,0.73,0.132,64
USR_00344,2642,0.75,0.115,5
USR_00345,2120,0.75,0.214,157
USR_00346,2373,0.71,0.097,187
USR_00347,2510,0.62,0.05,28
USR_00348,2500,0.67,0.026,51
USR_00349,2378,0.7,0.17,86
USR_00350,2516,0.59,0.272,7
USR_00351,2226,0.9,0.052,12
USR_00352,2904,0.42,0.017,18
USR_00353,2303,0.69,0.192,9
USR_00354,2588,0.4,0.181,9
USR_00355,2699,0.6,0.174,108
USR_00356,2375,0.73,0.038,10
USR_00357,2281,0.73,0.015,7
USR_00358,2173,0.89,0.114,0
USR_00359,2214,0.66,0.189,91
USR_00360,2807,0.51,0.139,93
USR_00361,2967,0.41,0.094,6
USR_00362,2357,0.68,0.22,35
USR_00363,2844,0.54,0.081,21
USR_00364,2917,0.44,0.33,6
USR_00365,2654,0.44,0.154,47
USR_00366,2615,0.66,0.352,250
USR_00367,2412,0.75,0.216,17
USR_00368,2907,0.46,0.23,4
USR_00369,2928,0.63,0.218,48
USR_00370,2790,0.55,0.167,32
USR_00371,2676,0.82,0.095,9
USR_00372,3020,0.34,0.121,90
USR_00373,2803,0.77,0.04,6
USR_00374,2686,0.57,0.048,20
USR_00375,2009,0.69,0.106,34
USR_00376,2378,0.61,0.073,2
USR_00377,2440,0.55,0.205,11
USR_00378,2835,0.62,0.163,29
USR_00379,2835,0.68,0.432,61
USR_00380,2102,0.75,0.01,3
USR_00381,2861,0.52,0.324,4
USR_00382,2546,0.72,0.145,36
USR_00383,2401,0.83,0.069,102
USR_00384,2467,0.75,0.123,18
USR_00385,2661,0.51,0.256,101
USR_00386,2360,0.68,0.124,15
USR_00387,2687,0.57,0.154,57
USR_00388,2702,0.51,0.235,25
USR_00389,2566,0.55,0.078,175
USR_00390,2391,0.55,0.013,66
USR_00391,2295,0.73,0.189,14
USR_00392,2478,0.79,0.058,80
USR_00393,3038,0.39,0.241,143
USR_00394,2262,0.82,0.106,41
USR_00395,2128,0.89,0.05,19
USR_00396,1759,0.86,0.064,84
USR_00397,2336,0.62,0.141,81
USR_00398,2498,0.71,0.158,142
USR_00399,2603,0.54,0.083,24
USR_00400,2713,0.52,0.238,9
USR_00401,2592,0.78,0.396,46
USR_00402,2475,0.65,0.325,34
USR_00403,1987,0.81,0.119,9
USR_00404,2330,0.57,0.037,110
USR_00405,3115,0.43,0.187,51
USR_00406,3033,0.49,0.105,17
USR_00407,2288,0.66,0.088,51
USR_00408,2744,0.51,0.029,0
USR_00409,2366,0.64,0.178,136
USR_00410,2825,0.52,0.074,24
USR_00411,1917,0.87,0.341,8
USR_00412,2239,0.5,0.078,12
USR_00413,2220,0.73,0.144,30
USR_00414,2566,0.56,0.216,134
USR_00415,2631,0.66,0.229,48
USR_00416,2786,0.58,0.213,11
USR_00417,2559,0.65,0.026,24
USR_00418,2185,0.75,0.225,5
USR_00419,2691,0.66,0.275,53
USR_00420,2549,0.69,0.051,3
USR_00421,2282,0.73,0.417,1
USR_00422,3015,0.54,0.05,21
USR_00423,1990,0.82,0.459,76
USR_00424,2371,0.67,0.085,28
USR_00425,1877,0.88,0.191,10
USR_00426,2724,0.52,0.207,47
USR_00427,2960,0.63,0.077,170
USR_00428,2176,0.8,0.07,62
USR_00429,2224,0.79,0.084,10
USR_00430,2632,0.59,0.234,253
USR_00431,2632,0.61,0.144,26
USR_00432,2363,0.58,0.413,62
USR_00433,2580,0.62,0.339,16
USR_00434,2536,0.73,0.139,12
USR_00435,2496,0.56,0.149,106
USR_00436,2787,0.58,0.356,18
USR_00437,2486,0.75,0.275,14
USR_00438,2796,0.49,0.165,143
USR_00439,2229,0.82,0.021,27
USR_00440,2083,0.84,0.013,26
USR_00441,2596,0.62,0.268,109
USR_00442,2476,0.52,0.207,10
USR_00443,2298,0.86,0.307,11
USR_00444,2870,0.64,0.137,8
USR_00445,2810,0.5,0.191,32
USR_00446,2547,0.73,0.187,70
USR_00447,2043,0.82,0.043,8
USR_00448,2889,0.52,0.266,94
USR_00449,2857,0.31,0.235,20
USR_00450,2262,0.79,0.054,26
USR_00451,2362,0.79,0.149,11
USR_00452,2665,0.68,0.085,0
USR_00453,2871,0.41,0.187,2
USR_00454,2217,0.86,0.213,32
USR_00455,2749,0.57,0.124,60
USR_00456,2082,0.88,0.069,3
USR_00457,2591,0.65,0.21,96
USR_00458,2864,0.56,0.096,2
USR_00459,2489,0.62,0.127,10
USR_00460,2385,0.69,0.226,92
USR_00461,2450,0.74,0.195,32
USR_00462,2393,0.85,0.027,44
USR_00463,2758,0.53,0.226,50
USR_00464,2386,0.75,0.185,17
USR_00465,2858,0.42,0.068,86
USR_00466,2438,0.65,0.13,43
USR_00467,2937,0.61,0.135,11
USR_00468,2337,0.64,0.273,19
USR_00469,2514,0.76,0.325,5
USR_00470,2017,0.84,0.445,64
USR_00471,2931,0.63,0.201,7
USR_00472,2372,0.69,0.19,92
USR_00473,2909,0.4,0.175,27
USR_00474,2436,0.79,0.149,67
USR_00475,2916,0.52,0.086,88
USR_00476,2911,0.54,0.216,15
USR_00477,2325,0.6,0.068,36
USR_00478,2756,0.4,0.182,20
USR_00479,3061,0.29,0.332,72
USR_00480,2809,0.5,0.181,60
USR_00481,2441,0.7,0.019,69
USR_00482,2580,0.66,0.203,37
USR_00483,2276,0.78,0.095,13
USR_00484,2388,0.92,0.157,35
USR_00485,2441,0.76,0.169,32
USR_00486,2266,0.67,0.089,54
USR_00487,2057,0.75,0.307,11
USR_00488,2932,0.39,0.206,301
USR_00489,2779,0.7,0.119,25
USR_00490,2791,0.68,0.079,100
USR_00491,2639,0.46,0.157,29
USR_00492,2668,0.51,0.084,10
USR_00493,2544,0.74,0.107,47
USR_00494,2248,0.81,0.096,91
USR_00495,2462,0.73,0.214,27
USR_00496,2379,0.81,0.072,12
USR_00497,2892,0.55,0.329,39
USR_00498,2153,0.79,0.29,1
USR_00499,3120,0.43,0.122,0
USR_00500,2513,0.63,0.295,18
USR_00501,2566,0.53,0.246,86
USR_00502,2461,0.62,0.248,1
USR_00503,2724,0.51,0.123,48
USR_00504,2018,0.83,0.194,0
USR_00505,2278,0.75,0.112,9
USR_00506,2437,0.64,0.317,114
USR_00507,2283,0.92,0.245,4
USR_00508,3303,0.22,0.186,339
USR_00509,2235,0.61,0.111,20
USR_00510,2365,0.77,0.272,10
USR_00511,2714,0.49,0.14,14
USR_00512,2855,0.59,0.416,94
USR_00513,2688,0.43,0.045,32
USR_00514,2404,0.72,0.308,165
USR_00515,1949,0.87,0.017,47
USR_00516,2255,0.81,0.159,129
USR_00517,2181,0.88,0.145,94
USR_00518,2606,0.55,0.121,78
USR_00519,2681,0.56,0.39,46
USR_00520,2238,0.83,0.251,35
USR_00521,2512,0.72,0.202,1
USR_00522,2509,0.65,0.103,63
USR_00523,2858,0.51,0.286,39
USR_00524,1789,0.61,0.088,1
USR_00525,2478,0.8,0.209,41
USR_00526,2901,0.51,0.195,21
USR_00527,2325,0.73,0.029,57
USR_00528,2613,0.72,0.264,37
USR_00529,2584,0.7,0.169,2
USR_00530,2156,0.83,0.067,0
USR_00531,2363,0.73,0.112,53
USR_00532,2885,0.26,0.048,133
USR_00533,2253,0.67,0.13,3
USR_00534,2060,0.83,0.195,34
USR_00535,2483,0.47,0.096,82
USR_00536,2682,0.73,0.122,12
USR_00537,2998,0.72,0.097,4
USR_00538,2598,0.78,0.159,3
USR_00539,2360,0.69,0.311,223
USR_00540,2526,0.55,0.149,46
USR_00541,2053,0.7,0.092,47
USR_00542,2599,0.59,0.162,19
USR_00543,2361,0.68,0.126,5
USR_00544,2782,0.5,0.078,146
USR_00545,2593,0.45,0.328,41
USR_00546,2246,0.81,0.121,62
USR_00547,2500,0.65,0.055,24
USR_00548,2665,0.64,0.106,4
USR_00549,3208,0.29,0.316,21
USR_00550,2407,0.78,0.054,8
USR_00551,2422,0.64,0.031,24
USR_00552,2065,0.78,0.32,51
USR_00553,2397,0.75,0.239,6
USR_00554,2849,0.48,0.177,4
USR_00555,2725,0.69,0.124,39
USR_00556,2743,0.64,0.219,2
USR_00557,2851,0.47,0.2,68
USR_00558,2919,0.64,0.256,3
USR_00559,2516,0.6,0.122,55
USR_00560,2740,0.66,0.46,42
USR_00561,2831,0.56,0.048,47
USR_00562,2132,0.6,0.297,2
USR_00563,2402,0.63,0.154,6
USR_00564,2850,0.39,0.228,25
USR_00565,2203,0.8,0.021,1
USR_00566,2984,0.38,0.112,80
USR_00567,2294,0.68,0.12,8
USR_00568,1981,0.92,0.062,66
USR_00569,2503,0.72,0.067,100
USR_00570,2445,0.72,0.255,146
USR_00571,2556,0.71,0.094,41
USR_00572,2779,0.53,0.103,13
USR_00573,2739,0.46,0.092,28
USR_00574,2709,0.44,0.046,37
USR_00575,2523,0.51,0.044,0
USR_00576,2295,0.75,0.012,89
USR_00577,2423,0.56,0.223,53
USR_00578,2814,0.45,0.16,7
USR_00579,2204,0.58,0.152,12
USR_00580,2578,0.52,0.182,0
USR_00581,3010,0.38,0.118,45
USR_00582,2499,0.62,0.275,12
USR_00583,2457,0.83,0.094,46
USR_00584,2742,0.77,0.064,127
USR_00585,2089,0.8,0.106,161
USR_00586,2203,0.59,0.067,18
USR_00587,2191,0.76,0.167,94
USR_00588,2760,0.77,0.136,140
USR_00589,3202,0.56,0.072,32
USR_00590,2211,0.84,0.09,65
USR_00591,2532,0.66,0.308,7
USR_00592,2739,0.39,0.161,40
USR_00593,2790,0.53,0.131,56
USR_00594,2548,0.65,0.159,66
USR_00595,2666,0.49,0.08,41
USR_00596,2534,0.46,0.192,63
USR_00597,2278,0.73,0.243,2
USR_00598,2677,0.51,0.108,67
USR_00599,2716,0.49,0.08,86
USR_00600,2465,0.64,0.363,32
USR_00601,2178,0.8,0.234,0
USR_00602,2622,0.64,0.337,23
USR_00603,2472,0.65,0.05,61
USR_00604,2440,0.52,0.116,31
USR_00605,2615,0.83,0.342,192
USR_00606,2348,0.7,0.306,103
USR_00607,2391,0.79,0.194,72
USR_00608,2705,0.52,0.319,96
USR_00609,2319,0.82,0.214,61
USR_00610,2157,0.79,0.111,11
USR_00611,2445,0.65,0.126,55
USR_00612,2232,0.87,0.347,177
USR_00613,2540,0.71,0.155,36
USR_00614,2458,0.68,0.032,111
USR_00615,2234,0.82,0.088,172
USR_00616,2799,0.45,0.142,21
USR_00617,2637,0.49,0.202,32
USR_00618,3040,0.28,0.07,109
USR_00619,2990,0.33,0.288,63
USR_00620,3115,0.38,0.074,4
USR_00621,2923,0.58,0.092,6
USR_00622,2794,0.8,0.178,21
USR_00623,1963,0.9,0.147,37
USR_00624,2401,0.72,0.123,63
USR_00625,2665,0.61,0.023,48
USR_00626,2665,0.68,0.281,54
USR_00627,2563,0.59,0.193,10
USR_00628,2357,0.74,0.097,42
USR_00629,2915,0.61,0.366,38
USR_00630,2610,0.45,0.184,141
USR_00631,2258,0.79,0.161,61
USR_00632,2294,0.83,0.094,22
USR_00633,3058,0.52,0.457,123
USR_00634,2805,0.72,0.359,31
USR_00635,2613,0.48,0.031,212
USR_00636,2659,0.53,0.123,9
USR_00637,2402,0.58,0.302,54
USR_00638,2467,0.63,0.121,34
USR_00639,2375,0.69,0.403,11
USR_00640,2638,0.49,0.166,268
USR_00641,2789,0.6,0.134,57
USR_00642,2443,0.8,0.147,3
USR_00643,2215,0.74,0.145,92
USR_00644,2130,0.77,0.27,37
USR_00645,2263,0.83,0.152,33
USR_00646,3094,0.44,0.18,5
USR_00647,2403,0.71,0.156,0
USR_00648,2344,0.7,0.139,17
USR_00649,2111,0.68,0.083,15
USR_00650,2754,0.41,0.119,11
USR_00651,2730,0.65,0.18,11
USR_00652,3062,0.58,0.202,40
USR_00653,2260,0.7,0.202,47
USR_00654,2636,0.58,0.101,4
USR_00655,2039,0.71,0.143,10
USR_00656,2537,0.73,0.311,118
USR_00657,2207,0.83,0.284,52
USR_00658,2223,0.81,0.094,0
USR_00659,2553,0.69,0.01,27
USR_00660,2308,0.73,0.209,5
USR_00661,2695,0.59,0.091,58
USR_00662,2787,0.73,0.373,4
USR_00663,2400,0.79,0.166,38
USR_00664,2574,0.68,0.067,37
USR_00665,2813,0.6,0.035,67
USR_00666,2466,0.72,0.321,3
USR_00667,2233,0.81,0.155,4
USR_00668,2459,0.63,0.053,67
USR_00669,2329,0.75,0.083,10
USR_00670,2565,0.64,0.041,2
USR_00671,2387,0.75,0.068,264
USR_00672,2712,0.52,0.167,125
USR_00673,1804,0.79,0.229,37
USR_00674,2733,0.57,0.195,15
USR_00675,2491,0.68,0.063,54
USR_00676,3012,0.73,0.228,2
USR_00677,2692,0.78,0.244,8
USR_00678,2290,0.71,0.049,131
USR_00679,2518,0.61,0.091,4
USR_00680,2702,0.72,0.095,17
USR_00681,2371,0.71,0.115,6
USR_00682,2000,0.83,0.198,24
USR_00683,2322,0.66,0.154,33
USR_00684,2334,0.78,0.034,12
USR_00685,1910,0.83,0.102,51
USR_00686,2209,0.87,0.284,20
USR_00687,2369,0.5,0.079,59
USR_00688,2486,0.8,0.16,11
USR_00689,2962,0.68,0.01,35
USR_00690,2276,0.67,0.172,29
USR_00691,2159,0.73,0.08,22
USR_00692,2133,0.75,0.239,5
USR_00693,2823,0.64,0.228,29
USR_00694,3065,0.37,0.074,125
USR_00695,2437,0.75,0.075,4
USR_00696,2400,0.66,0.282,19
USR_00697,2652,0.5,0.045,56
USR_00698,2347,0.74,0.283,30
USR_00699,1856,0.85,0.126,103
USR_00700,2732,0.53,0.237,81
USR_00701,2424,0.8,0.1,230
USR_00702,2739,0.67,0.177,0
USR_00703,1955,0.85,0.062,42
USR_00704,3178,0.24,0.075,127
USR_00705,2599,0.49,0.087,35
USR_00706,2634,0.74,0.336,81
USR_00707,2885,0.29,0.111,20
USR_00708,2427,0.7,0.183,2
USR_00709,2490,0.7,0.132,35
USR_00710,2664,0.63,0.096,46
USR_00711,2128,0.82,0.178,1
USR_00712,2437,0.68,0.232,90
USR_00713,2539,0.73,0.178,35
USR_00714,2461,0.63,0.129,59
USR_00715,2570,0.63,0.29,38
USR_00716,2551,0.61,0.091,107
USR_00717,2420,0.58,0.129,51
USR_00718,2263,0.79,0.07,271
USR_00719,2944,0.68,0.029,16
USR_00720,2759,0.64,0.535,14
USR_00721,2059,0.86,0.159,76
USR_00722,2150,0.79,0.301,84
USR_00723,2098,0.76,0.222,21
USR_00724,2482,0.62,0.119,11
USR_00725,2247,0.81,0.197,20
USR_00726,2746,0.81,0.323,27
USR_00727,2262,0.64,0.17,68
USR_00728,2361,0.56,0.103,15
USR_00729,2353,0.75,0.204,3
USR_00730,2812,0.37,0.018,108
USR_00731,2403,0.72,0.173,4
USR_00732,2478,0.61,0.117,6
USR_00733,2356,0.86,0.078,412
