user_id,age,annual_mileage,night_driving_pct,weekend_driving_pct,fatigue_score,assigned_village
USR_00095,55,9089,0.059,0.393,5.3,safe_commuters
USR_00096,42,5904,0.141,0.318,2.8,safe_commuters
USR_00097,39,17756,0.353,0.358,5.3,night_owls
USR_00098,31,5745,0.164,0.248,0.7,safe_commuters
USR_00099,20,6248,0.013,0.318,7.3,young_pros
USR_00100,43,3306,0.002,0.258,4.9,weekend_warriors
USR_00101,40,5695,0.094,0.283,0.7,safe_commuters
USR_00102,31,29480,0.186,0.111,1.2,safe_commuters
USR_00103,72,6606,0.18,0.323,2.0,safe_commuters
USR_00104,34,29145,0.051,0.273,1.1,safe_commuters
USR_00105,79,11788,0.041,0.403,5.5,safe_commuters
USR_00106,70,8212,0.136,0.101,0.9,safe_commuters
USR_00107,79,5859,0.099,0.287,1.0,safe_commuters
USR_00108,56,13699,0.047,0.138,0.7,safe_commuters
USR_00109,54,6926,0.053,0.293,0.7,safe_commuters
USR_00110,63,17672,0.039,0.371,1.7,safe_commuters
USR_00111,73,4350,0.025,0.279,7.6,weekend_warriors
USR_00112,73,73197,0.027,0.153,3.1,safe_commuters
USR_00113,60,4494,0.003,0.292,2.5,weekend_warriors
USR_00114,27,10357,0.129,0.224,4.1,safe_commuters
USR_00115,58,12711,0.219,0.165,4.4,safe_commuters
USR_00116,70,3159,0.066,0.346,3.7,weekend_warriors
USR_00117,47,8998,0.054,0.385,1.0,safe_commuters
USR_00118,41,5445,0.022,0.196,0.3,safe_commuters
USR_00119,79,13414,0.099,0.337,2.5,safe_commuters
USR_00120,39,20800,0.124,0.148,6.2,safe_commuters
USR_00121,76,14636,0.179,0.406,6.4,safe_commuters
USR_00122,77,5862,0.376,0.472,4.4,night_owls
USR_00123,53,8969,0.597,0.034,1.9,night_owls
USR_00124,42,3290,0.009,0.522,2.9,weekend_warriors
USR_00125,26,15418,0.163,0.096,1.3,safe_commuters
USR_00126,52,3575,0.171,0.158,1.1,weekend_warriors
USR_00127,43,18489,0.006,0.459,3.3,safe_commuters
USR_00128,45,8757,0.124,0.365,3.8,safe_commuters
USR_00129,76,3022,0.435,0.009,2.3,weekend_warriors
USR_00130,51,5738,0.131,0.442,2.9,safe_commuters
USR_00131,28,10848,0.061,0.272,2.2,safe_commuters
USR_00132,80,7131,0.04,0.245,4.4,safe_commuters
USR_00133,61,5887,0.068,0.422,1.0,safe_commuters
USR_00134,64,11031,0.02,0.295,1.6,safe_commuters
USR_00135,65,6017,0.157,0.249,1.3,safe_commuters
USR_00136,30,6598,0.262,0.295,2.2,safe_commuters
USR_00137,59,9632,0.153,0.338,3.4,safe_commuters
USR_00138,59,4479,0.279,0.189,1.1,weekend_warriors
USR_00139,83,8657,0.044,0.332,2.2,safe_commuters
USR_00140,64,5763,0.785,0.285,2.2,night_owls
USR_00141,78,4973,0.413,0.19,1.2,weekend_warriors
USR_00142,54,21749,0.492,0.272,0.7,night_owls
USR_00143,28,18054,0.065,0.17,2.1,safe_commuters
USR_00144,80,5082,0.062,0.142,3.7,safe_commuters
USR_00145,66,7465,0.197,0.307,4.4,safe_commuters
USR_00146,79,14690,0.185,0.472,6.9,safe_commuters
USR_00147,80,7579,0.004,0.424,2.4,safe_commuters
USR_00148,57,11935,0.081,0.258,3.4,safe_commuters
USR_00149,42,14714,0.001,0.334,0.5,safe_commuters
USR_00150,22,12890,0.08,0.047,3.7,young_pros
USR_00151,64,13655,0.308,0.229,1.8,night_owls
USR_00152,29,12436,0.087,0.24,1.9,safe_commuters
USR_00153,30,27789,0.111,0.378,2.7,safe_commuters
USR_00154,66,10190,0.042,0.364,0.7,safe_commuters
USR_00155,71,2550,0.128,0.3,4.8,weekend_warriors
USR_00156,76,4392,0.068,0.171,0.3,weekend_warriors
USR_00157,66,12517,0.199,0.462,0.9,safe_commuters
USR_00158,80,3684,0.119,0.322,2.2,weekend_warriors
USR_00159,82,10124,0.07,0.314,4.4,safe_commuters
USR_00160,21,3854,0.355,0.337,4.4,young_pros
USR_00161,62,23086,0.093,0.193,1.7,safe_commuters
USR_00162,28,8299,0.121,0.464,0.8,safe_commuters
USR_00163,59,7640,0.175,0.118,1.6,safe_commuters
USR_00164,50,10213,0.063,0.429,2.8,safe_commuters
USR_00165,57,5621,0.097,0.176,3.2,safe_commuters
USR_00166,68,28368,0.03,0.331,3.9,safe_commuters
USR_00167,21,9608,0.084,0.358,1.1,young_pros
USR_00168,54,6328,0.263,0.246,6.5,safe_commuters
USR_00169,63,24697,0.276,0.204,2.4,safe_commuters
USR_00170,33,10994,0.204,0.338,3.4,safe_commuters
USR_00171,61,14263,0.077,0.173,1.9,safe_commuters
USR_00172,38,17001,0.217,0.333,2.2,safe_commuters
USR_00173,40,6312,0.044,0.451,0.4,safe_commuters
USR_00174,50,19714,0.157,0.272,4.4,safe_commuters
USR_00175,23,3313,0.54,0.221,2.6,young_pros
USR_00176,63,9851,0.194,0.216,2.6,safe_commuters
USR_00177,74,9002,0.041,0.229,0.4,safe_commuters
USR_00178,37,7003,0.073,0.153,6.6,safe_commuters
USR_00179,57,7243,0.114,0.335,2.8,safe_commuters
USR_00180,49,1806,0.037,0.217,0.9,weekend_warriors
USR_00181,83,11379,0.014,0.211,1.1,safe_commuters
USR_00182,84,10409,0.011,0.33,3.7,safe_commuters
USR_00183,22,9504,0.013,0.213,6.1,young_pros
USR_00184,28,16519,0.147,0.369,3.0,safe_commuters
USR_00185,73,9241,0.074,0.311,2.1,safe_commuters
USR_00186,28,10199,0.124,0.288,3.1,safe_commuters
USR_00187,30,3129,0.199,0.242,2.3,weekend_warriors
USR_00188,60,9574,0.138,0.288,3.2,safe_commuters
USR_00189,66,4311,0.073,0.326,1.8,weekend_warriors
USR_00190,35,8941,0.421,0.455,3.7,night_owls
USR_00191,28,11071,0.36,0.315,0.7,night_owls
USR_00192,57,13855,0.495,0.317,3.5,night_owls
USR_00193,38,24860,0.375,0.094,6.1,night_owls
USR_00194,70,6607,0.043,0.321,1.3,safe_commuters
USR_00195,60,23228,0.315,0.303,0.8,night_owls
USR_00196,44,4030,0.074,0.108,2.1,weekend_warriors
USR_00197,56,14788,0.274,0.278,1.7,safe_commuters
USR_00198,28,5477,0.495,0.136,7.5,night_owls
USR_00199,56,10574,0.041,0.163,5.9,safe_commuters
USR_00200,56,15399,0.036,0.405,2.1,safe_commuters
USR_00201,52,5388,0.088,0.346,3.9,safe_commuters
USR_00202,69,3060,0.421,0.384,3.4,weekend_warriors
USR_00203,62,13340,0.437,0.139,3.7,night_owls
USR_00204,48,3589,0.449,0.216,7.8,weekend_warriors
USR_00205,47,8479,0.335,0.372,1.5,night_owls
USR_00206,66,11540,0.256,0.297,0.7,safe_commuters
USR_00207,67,29249,0.096,0.048,1.7,safe_commuters
USR_00208,46,2898,0.01,0.293,1.4,weekend_warriors
USR_00209,59,3675,0.091,0.389,5.0,weekend_warriors
USR_00210,41,3581,0.057,0.395,2.8,weekend_warriors
USR_00211,24,8121,0.294,0.145,3.1,young_pros
USR_00212,37,5248,0.196,0.085,2.5,safe_commuters
USR_00213,36,9603,0.026,0.253,1.6,safe_commuters
USR_00214,45,31622,0.041,0.293,3.3,safe_commuters
USR_00215,71,6891,0.229,0.269,1.7,safe_commuters
USR_00216,19,10940,0.104,0.334,3.2,young_pros
USR_00217,80,10510,0.091,0.224,1.4,safe_commuters
USR_00218,84,5855,0.131,0.272,0.6,safe_commuters
USR_00219,26,8327,0.136,0.244,2.1,safe_commuters
USR_00220,66,10582,0.079,0.403,2.5,safe_commuters
USR_00221,41,17469,0.229,0.231,3.7,safe_commuters
USR_00222,78,16219,0.062,0.158,0.8,safe_commuters
USR_00223,77,15174,0.07,0.359,2.1,safe_commuters
USR_00224,31,10886,0.372,0.174,2.4,night_owls
USR_00225,59,8895,0.403,0.222,2.9,night_owls
USR_00226,38,2550,0.106,0.282,2.0,weekend_warriors
USR_00227,65,5410,0.202,0.417,3.6,safe_commuters
USR_00228,47,13164,0.308,0.277,1.5,night_owls
USR_00229,31,3987,0.058,0.497,1.6,weekend_warriors
USR_00230,77,16109,0.004,0.407,0.8,safe_commuters
USR_00231,65,6620,0.002,0.455,0.6,safe_commuters
USR_00232,55,12841,0.35,0.345,2.5,night_owls
USR_00233,27,4653,0.003,0.141,0.9,weekend_warriors
USR_00234,26,12038,0.023,0.225,4.8,safe_commuters
USR_00235,63,11075,0.205,0.423,1.7,safe_commuters
USR_00236,58,4306,0.121,0.298,2.1,weekend_warriors
USR_00237,77,20473,0.239,0.321,2.7,safe_commuters
USR_00238,76,2549,0.308,0.233,4.3,weekend_warriors
USR_00239,18,6536,0.277,0.223,1.6,young_pros
USR_00240,49,3543,0.041,0.206,5.4,weekend_warriors
USR_00241,30,9813,0.221,0.524,0.9,safe_commuters
USR_00242,64,11979,0.001,0.327,1.0,safe_commuters
USR_00243,31,4987,0.141,0.378,1.0,weekend_warriors
USR_00244,69,11280,0.708,0.349,1.7,night_owls
USR_00245,42,5947,0.465,0.257,7.5,night_owls
USR_00246,67,13381,0.26,0.265,0.9,safe_commuters
USR_00247,45,10586,0.018,0.255,3.2,safe_commuters
USR_00248,65,5466,0.208,0.23,0.7,safe_commuters
USR_00249,72,4304,0.129,0.348,6.4,weekend_warriors
USR_00250,79,13313,0.161,0.164,2.6,safe_commuters
USR_00251,57,9252,0.014,0.383,1.7,safe_commuters
USR_00252,44,6494,0.065,0.241,0.3,safe_commuters
USR_00253,76,22529,0.217,0.277,2.5,safe_commuters
USR_00254,45,5291,0.234,0.244,0.3,safe_commuters
USR_00255,65,6070,0.214,0.319,0.5,safe_commuters
USR_00256,61,4169,0.469,0.395,4.7,weekend_warriors
USR_00257,70,10160,0.076,0.342,3.3,safe_commuters
USR_00258,69,27482,0.047,0.194,5.5,safe_commuters
USR_00259,34,7855,0.002,0.218,2.1,safe_commuters
USR_00260,74,4492,0.529,0.246,2.8,weekend_warriors
USR_00261,32,4354,0.004,0.291,3.9,weekend_warriors
USR_00262,68,3882,0.027,0.499,3.6,weekend_warriors
USR_00263,26,12769,0.08,0.366,1.6,safe_commuters
USR_00264,55,6918,0.011,0.258,1.7,safe_commuters
USR_00265,45,9467,0.075,0.192,1.5,safe_commuters
USR_00266,60,16967,0.522,0.427,8.2,night_owls
USR_00267,59,4019,0.03,0.28,1.8,weekend_warriors
USR_00268,67,6148,0.101,0.397,2.8,safe_commuters
USR_00269,31,2850,0.086,0.295,1.3,weekend_warriors
USR_00270,32,8376,0.106,0.284,1.7,safe_commuters
USR_00271,55,14664,0.111,0.325,2.1,safe_commuters
USR_00272,51,14431,0.254,0.419,9.6,safe_commuters
USR_00273,84,5905,0.083,0.135,0.9,safe_commuters
USR_00274,78,9334,0.107,0.284,4.6,safe_commuters
USR_00275,62,11748,0.026,0.192,2.7,safe_commuters
USR_00276,54,7019,0.081,0.341,2.5,safe_commuters
USR_00277,77,15443,0.017,0.405,2.8,safe_commuters
USR_00278,59,6146,0.039,0.313,3.1,safe_commuters
USR_00279,32,9308,0.01,0.259,1.1,safe_commuters
USR_00280,44,32251,0.312,0.185,1.4,night_owls
USR_00281,47,8033,0.263,0.225,2.1,safe_commuters
USR_00282,60,13179,0.254,0.233,3.4,safe_commuters
USR_00283,50,8675,0.139,0.279,1.8,safe_commuters
USR_00284,51,16037,0.291,0.214,3.7,safe_commuters
USR_00285,74,1964,0.072,0.336,3.1,weekend_warriors
USR_00286,65,3370,0.061,0.176,0.9,weekend_warriors
USR_00287,35,2673,0.02,0.215,4.1,weekend_warriors
USR_00288,44,7963,0.742,0.545,7.9,night_owls
USR_00289,30,10103,0.159,0.366,2.2,safe_commuters
USR_00290,53,63742,0.272,0.392,1.4,safe_commuters
USR_00291,32,13541,0.146,0.384,1.9,safe_commuters
USR_00292,28,6458,0.287,0.224,8.7,safe_commuters
USR_00293,61,13354,0.223,0.306,5.8,safe_commuters
USR_00294,65,12098,0.064,0.387,7.8,safe_commuters
USR_00295,71,17600,0.538,0.183,1.5,night_owls
USR_00296,61,2836,0.583,0.24,4.3,weekend_warriors
USR_00297,54,3576,0.152,0.164,4.7,weekend_warriors
USR_00298,27,6814,0.15,0.326,3.5,safe_commuters
USR_00299,39,3459,0.249,0.26,3.7,weekend_warriors
USR_00300,84,21921,0.159,0.184,4.6,safe_commuters
USR_00301,42,3352,0.116,0.199,0.9,weekend_warriors
USR_00302,44,9594,0.255,0.297,1.8,safe_commuters
USR_00303,46,12756,0.151,0.231,6.1,safe_commuters
USR_00304,37,11932,0.268,0.287,3.1,safe_commuters
USR_00305,76,2559,0.052,0.347,3.1,weekend_warriors
USR_00306,73,9959,0.053,0.325,2.4,safe_commuters
USR_00307,25,4628,0.182,0.282,1.9,weekend_warriors
USR_00308,28,4111,0.037,0.41,1.7,weekend_warriors
USR_00309,60,24646,0.56,0.393,1.2,night_owls
USR_00310,25,15380,0.179,0.297,4.3,safe_commuters
USR_00311,19,4004,0.114,0.316,2.1,young_pros
USR_00312,30,9365,0.143,0.351,1.2,safe_commuters
USR_00313,51,9998,0.058,0.122,4.0,safe_commuters
USR_00314,46,10374,0.203,0.097,1.7,safe_commuters
USR_00315,46,3262,0.053,0.252,2.6,weekend_warriors
USR_00316,77,9576,0.309,0.284,0.9,night_owls
USR_00317,62,17060,0.045,0.308,0.7,safe_commuters
USR_00318,40,34495,0.382,0.289,6.8,night_owls
USR_00319,67,10298,0.254,0.273,4.8,safe_commuters
USR_00320,81,6844,0.005,0.208,0.5,safe_commuters
USR_00321,57,7311,0.002,0.419,0.5,safe_commuters
USR_00322,83,8127,0.066,0.274,3.6,safe_commuters
USR_00323,46,5543,0.177,0.182,0.5,safe_commuters
USR_00324,28,4091,0.223,0.22,2.5,weekend_warriors
USR_00325,82,11021,0.005,0.103,0.4,safe_commuters
USR_00326,23,4245,0.151,0.259,1.7,young_pros
USR_00327,38,13430,0.153,0.169,0.6,safe_commuters
USR_00328,24,7573,0.167,0.405,1.1,young_pros
USR_00329,65,5523,0.267,0.208,0.3,safe_commuters
USR_00330,38,4109,0.065,0.101,2.3,weekend_warriors
USR_00331,81,3256,0.198,0.113,2.9,weekend_warriors
USR_00332,72,4318,0.115,0.196,3.5,weekend_warriors
USR_00333,54,11559,0.027,0.105,3.2,safe_commuters
USR_00334,26,3597,0.09,0.175,6.7,weekend_warriors
USR_00335,73,4575,0.334,0.161,0.4,weekend_warriors
USR_00336,46,15217,0.097,0.123,1.4,safe_commuters
USR_00337,60,9346,0.161,0.242,1.3,safe_commuters
USR_00338,56,7385,0.134,0.278,1.5,safe_commuters
USR_00339,46,12047,0.115,0.254,2.5,safe_commuters
USR_00340,67,14934,0.685,0.217,2.0,night_owls
USR_00341,47,6690,0.036,0.239,0.1,safe_commuters
USR_00342,83,6357,0.106,0.356,1.7,safe_commuters
USR_00343,18,45490,0.465,0.164,2.6,young_pros
USR_00344,61,18740,0.015,0.252,4.5,safe_commuters
USR_00345,54,2132,0.226,0.362,2.9,weekend_warriors
USR_00346,71,8134,0.005,0.341,1.1,safe_commuters
USR_00347,53,6192,0.072,0.243,3.7,safe_commuters
USR_00348,29,2838,0.262,0.113,4.1,weekend_warriors
USR_00349,52,6366,0.285,0.262,0.5,safe_commuters
USR_00350,62,3309,0.134,0.314,1.4,weekend_warriors
USR_00351,59,6028,0.281,0.314,3.0,safe_commuters
USR_00352,48,10438,0.01,0.389,0.7,safe_commuters
USR_00353,43,5965,0.575,0.183,1.5,night_owls
USR_00354,28,10522,0.256,0.299,2.7,safe_commuters
USR_00355,51,10371,0.008,0.22,6.3,safe_commuters
USR_00356,68,13534,0.439,0.46,10.0,night_owls
USR_00357,21,36028,0.23,0.366,3.5,young_pros
USR_00358,79,9911,0.111,0.174,2.2,safe_commuters
USR_00359,57,6363,0.061,0.193,2.3,safe_commuters
USR_00360,41,10237,0.172,0.398,2.0,safe_commuters
USR_00361,20,13312,0.217,0.276,2.0,young_pros
USR_00362,81,10951,0.004,0.246,0.2,safe_commuters
USR_00363,23,29987,0.452,0.364,3.7,young_pros
USR_00364,40,5370,0.125,0.33,1.5,safe_commuters
USR_00365,47,15165,0.152,0.361,1.6,safe_commuters
USR_00366,55,6396,0.263,0.2,3.8,safe_commuters
USR_00367,34,3686,0.068,0.276,1.5,weekend_warriors
USR_00368,40,4328,0.023,0.271,2.3,weekend_warriors
USR_00369,76,15334,0.002,0.236,4.3,safe_commuters
USR_00370,61,4487,0.227,0.267,5.7,weekend_warriors
USR_00371,82,7380,0.073,0.339,3.8,safe_commuters
USR_00372,69,14039,0.052,0.201,5.6,safe_commuters
USR_00373,51,4821,0.418,0.294,3.5,weekend_warriors
USR_00374,23,14541,0.03,0.302,2.2,young_pros
USR_00375,61,6269,0.007,0.301,2.8,safe_commuters
USR_00376,43,10481,0.016,0.239,2.9,safe_commuters
USR_00377,84,5961,0.108,0.343,3.6,safe_commuters
USR_00378,22,8553,0.113,0.201,0.4,young_pros
USR_00379,49,4377,0.238,0.393,3.3,weekend_warriors
USR_00380,49,14044,0.382,0.56,1.7,night_owls
USR_00381,57,23321,0.354,0.173,1.9,night_owls
USR_00382,51,2250,0.065,0.241,4.7,weekend_warriors
USR_00383,81,4400,0.0,0.308,6.1,weekend_warriors
USR_00384,75,11992,0.353,0.355,1.2,night_owls
USR_00385,29,11223,0.508,0.332,0.7,night_owls
USR_00386,63,6219,0.029,0.129,2.2,safe_commuters
USR_00387,65,12998,0.227,0.086,8.4,safe_commuters
USR_00388,68,6618,0.288,0.517,1.1,safe_commuters
USR_00389,37,13850,0.012,0.363,5.2,safe_commuters
USR_00390,42,13463,0.144,0.296,4.9,safe_commuters
USR_00391,48,11516,0.12,0.338,5.9,safe_commuters
USR_00392,81,13253,0.059,0.213,4.3,safe_commuters
USR_00393,27,32607,0.17,0.255,0.9,safe_commuters
USR_00394,74,10200,0.056,0.434,2.3,safe_commuters
USR_00395,81,4593,0.071,0.339,3.1,weekend_warriors
USR_00396,78,8160,0.163,0.311,5.3,safe_commuters
USR_00397,76,27313,0.205,0.197,1.2,safe_commuters
USR_00398,72,4575,0.167,0.291,5.9,weekend_warriors
USR_00399,68,7637,0.425,0.383,5.6,night_owls
USR_00400,36,14474,0.037,0.216,7.1,safe_commuters
USR_00401,80,11805,0.071,0.199,0.6,safe_commuters
USR_00402,46,3304,0.156,0.28,10.0,weekend_warriors
USR_00403,67,8202,0.045,0.419,2.1,safe_commuters
USR_00404,32,3733,0.488,0.325,1.9,weekend_warriors
USR_00405,49,27159,0.198,0.143,2.9,safe_commuters
USR_00406,19,8660,0.07,0.315,1.3,young_pros
USR_00407,66,4484,0.045,0.429,2.6,weekend_warriors
USR_00408,50,10119,0.022,0.269,3.6,safe_commuters
USR_00409,23,17813,0.079,0.219,2.2,young_pros
USR_00410,29,6766,0.509,0.427,2.5,night_owls
USR_00411,56,5951,0.383,0.365,3.6,night_owls
USR_00412,22,5677,0.245,0.465,1.6,young_pros
USR_00413,54,12795,0.139,0.169,0.3,safe_commuters
USR_00414,37,5789,0.341,0.189,0.3,night_owls
USR_00415,35,6787,0.004,0.144,8.6,safe_commuters
USR_00416,27,7299,0.171,0.134,8.8,safe_commuters
USR_00417,39,6408,0.144,0.266,2.0,safe_commuters
USR_00418,53,5155,0.227,0.289,2.2,safe_commuters
USR_00419,62,6936,0.311,0.429,1.4,night_owls
USR_00420,39,6351,0.13,0.211,7.4,safe_commuters
USR_00421,18,10946,0.306,0.312,3.4,young_pros
USR_00422,45,11760,0.168,0.329,3.8,safe_commuters
USR_00423,76,9845,0.017,0.259,5.4,safe_commuters
USR_00424,75,6756,0.165,0.285,4.5,safe_commuters
USR_00425,64,8802,0.362,0.379,2.4,night_owls
USR_00426,35,21286,0.019,0.243,4.3,safe_commuters
USR_00427,61,6455,0.256,0.378,1.2,safe_commuters
USR_00428,79,5930,0.07,0.344,6.1,safe_commuters
USR_00429,84,5684,0.019,0.334,1.5,safe_commuters
USR_00430,50,8722,0.185,0.44,4.3,safe_commuters
USR_00431,39,50108,0.066,0.283,3.5,safe_commuters
USR_00432,37,19966,0.038,0.26,5.1,safe_commuters
USR_00433,26,9901,0.135,0.226,3.9,safe_commuters
USR_00434,78,23189,0.212,0.286,1.5,safe_commuters
USR_00435,65,6235,0.77,0.248,1.2,night_owls
USR_00436,66,19160,0.104,0.352,7.7,safe_commuters
USR_00437,46,10569,0.169,0.259,1.5,safe_commuters
USR_00438,49,15933,0.094,0.296,1.7,safe_commuters
USR_00439,49,3535,0.034,0.341,3.6,weekend_warriors
USR_00440,59,16935,0.046,0.277,1.6,safe_commuters
USR_00441,57,16755,0.249,0.183,4.7,safe_commuters
USR_00442,31,4372,0.37,0.238,2.0,weekend_warriors
USR_00443,67,5938,0.108,0.453,2.7,safe_commuters
USR_00444,79,19573,0.161,0.348,0.2,safe_commuters
USR_00445,21,7986,0.264,0.325,3.4,young_pros
USR_00446,66,6150,0.075,0.374,1.4,safe_commuters
USR_00447,60,16755,0.003,0.271,1.4,safe_commuters
USR_00448,33,6513,0.132,0.197,0.1,safe_commuters
USR_00449,25,7612,0.369,0.283,8.1,night_owls
USR_00450,56,9509,0.215,0.221,0.8,safe_commuters
USR_00451,64,13737,0.399,0.359,10.0,night_owls
USR_00452,35,11400,0.087,0.347,0.8,safe_commuters
USR_00453,76,11945,0.214,0.269,4.1,safe_commuters
USR_00454,78,6259,0.123,0.119,0.4,safe_commuters
USR_00455,81,12897,0.17,0.276,10.0,safe_commuters
USR_00456,59,19236,0.033,0.393,2.5,safe_commuters
USR_00457,64,10976,0.325,0.048,3.0,night_owls
USR_00458,48,3260,0.259,0.282,4.7,weekend_warriors
USR_00459,27,16542,0.23,0.459,1.1,safe_commuters
USR_00460,69,16019,0.271,0.359,2.4,safe_commuters
USR_00461,79,36049,0.196,0.289,3.4,safe_commuters
USR_00462,68,9928,0.217,0.321,0.7,safe_commuters
USR_00463,72,11521,0.259,0.281,3.6,safe_commuters
USR_00464,48,4435,0.343,0.443,2.8,weekend_warriors
USR_00465,34,25836,0.113,0.21,8.5,safe_commuters
USR_00466,31,8686,0.03,0.312,3.1,safe_commuters
